|dates|Warrick_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Warrick_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Warrick_Indiana_UnitedStates.Male_Total_Population.data|Warrick_Indiana_UnitedStates.Male_Total_Population.missing|Warrick_Indiana_UnitedStates.Female_Total_Population.data|Warrick_Indiana_UnitedStates.Female_Total_Population.missing|Warrick_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Warrick_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-18|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-19|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-20|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-21|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-22|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-23|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-24|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-25|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-26|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-27|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-28|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-29|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-30|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-10-31|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-01|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-02|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-03|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-04|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-05|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-06|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-07|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-08|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-09|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-10|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-11|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-12|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-13|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-14|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-15|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-16|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-17|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-18|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-19|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-20|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-21|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-22|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-23|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-24|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-25|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-26|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-27|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-28|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-29|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-11-30|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-12-01|10947.0|0|30670.0|0|31897.0|0|14921.0|0
0|2021-12-02|10947.0|0|30670.0|0|31897.0|0|14921.0|0
