|dates|Noble_Indiana_UnitedStates.JHU_ConfirmedCases.data|Noble_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Noble_Indiana_UnitedStates.NYT_ConfirmedCases.data|Noble_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Noble_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Noble_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Noble_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Noble_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7944.0|0|7948.0|0|106.0|0|0.0|100
0|2021-10-18|7984.0|0|7988.0|0|106.0|0|0.0|100
0|2021-10-19|7985.0|0|7989.0|0|106.0|0|0.0|100
0|2021-10-20|8003.0|0|8007.0|0|106.0|0|0.0|100
0|2021-10-21|8017.0|0|8021.0|0|106.0|0|0.0|100
0|2021-10-22|8031.0|0|8035.0|0|106.0|0|0.0|100
0|2021-10-23|8031.0|0|8035.0|0|106.0|0|0.0|100
0|2021-10-24|8031.0|0|8035.0|0|106.0|0|0.0|100
0|2021-10-25|8064.0|0|8068.0|0|106.0|0|0.0|100
0|2021-10-26|8075.0|0|8079.0|0|106.0|0|0.0|100
0|2021-10-27|8106.0|0|8110.0|0|108.0|0|0.0|100
0|2021-10-28|8128.0|0|8132.0|0|108.0|0|0.0|100
0|2021-10-29|8148.0|0|8152.0|0|108.0|0|0.0|100
0|2021-10-30|8148.0|0|8152.0|0|108.0|0|0.0|100
0|2021-10-31|8148.0|0|8152.0|0|108.0|0|0.0|100
0|2021-11-01|8201.0|0|8205.0|0|108.0|0|0.0|100
0|2021-11-02|8219.0|0|8223.0|0|109.0|0|0.0|100
0|2021-11-03|8235.0|0|8240.0|0|109.0|0|0.0|100
0|2021-11-04|8253.0|0|8258.0|0|109.0|0|0.0|100
0|2021-11-05|8290.0|0|8295.0|0|110.0|0|0.0|100
0|2021-11-06|8290.0|0|8295.0|0|110.0|0|0.0|100
0|2021-11-07|8290.0|0|8295.0|0|110.0|0|0.0|100
0|2021-11-08|8342.0|0|8347.0|0|110.0|0|0.0|100
0|2021-11-09|8357.0|0|8362.0|0|112.0|0|0.0|100
0|2021-11-10|8357.0|0|8412.0|0|112.0|0|0.0|100
0|2021-11-11|8473.0|0|8478.0|0|113.0|0|0.0|100
0|2021-11-12|8516.0|0|8521.0|0|114.0|0|0.0|100
0|2021-11-13|8516.0|0|8521.0|0|114.0|0|0.0|100
0|2021-11-14|8516.0|0|8521.0|0|114.0|0|0.0|100
0|2021-11-15|8574.0|0|8579.0|0|114.0|0|0.0|100
0|2021-11-16|8591.0|0|8596.0|0|114.0|0|0.0|100
0|2021-11-17|8651.0|0|8656.0|0|118.0|0|0.0|100
0|2021-11-18|8696.0|0|8701.0|0|118.0|0|0.0|100
0|2021-11-19|8742.0|0|8747.0|0|118.0|0|0.0|100
0|2021-11-20|8742.0|0|8747.0|0|118.0|0|0.0|100
0|2021-11-21|8742.0|0|8747.0|0|118.0|0|0.0|100
0|2021-11-22|8834.0|0|8839.0|0|119.0|0|0.0|100
0|2021-11-23|8872.0|0|8877.0|0|120.0|0|0.0|100
0|2021-11-24|8921.0|0|8926.0|0|121.0|0|0.0|100
0|2021-11-25|8921.0|0|8926.0|0|121.0|0|0.0|100
0|2021-11-26|8921.0|0|8926.0|0|121.0|0|0.0|100
0|2021-11-27|8921.0|0|8926.0|0|121.0|0|0.0|100
0|2021-11-28|8921.0|0|8926.0|0|121.0|0|0.0|100
0|2021-11-29|9069.0|0|9074.0|0|121.0|0|0.0|100
0|2021-11-30|9094.0|0|9099.0|0|122.0|0|0.0|100
0|2021-12-01|9181.0|0|9186.0|0|122.0|0|0.0|100
0|2021-12-02|9181.0|0|9239.0|0|122.0|0|0.0|100
0|2021-12-03|9316.0|0|9321.0|0|122.0|0|0.0|100
0|2021-12-04|9316.0|0|9321.0|0|122.0|0|0.0|100
0|2021-12-05|9316.0|0|9321.0|0|122.0|0|0.0|100
0|2021-12-06|9429.0|0|9434.0|0|123.0|0|0.0|100
0|2021-12-07|9460.0|0|9465.0|0|123.0|0|0.0|100
0|2021-12-08|9531.0|0|9536.0|0|123.0|0|0.0|100
0|2021-12-09|9570.0|0|9575.0|0|125.0|0|0.0|100
0|2021-12-10|9619.0|0|9624.0|0|125.0|0|0.0|100
0|2021-12-11|9619.0|0|9624.0|0|125.0|0|0.0|100
0|2021-12-12|9619.0|0|9624.0|0|125.0|0|0.0|100
