|dates|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedCases.data|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedCases.missing|Hillsborough_NewHampshire_UnitedStates.NYT_ConfirmedCases.data|Hillsborough_NewHampshire_UnitedStates.NYT_ConfirmedCases.missing|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.data|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedDeaths.missing|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.data|Hillsborough_NewHampshire_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|44381.0|0|44381.0|0|671.0|0|0.0|100
0|2021-10-18|44861.0|0|44861.0|0|672.0|0|0.0|100
0|2021-10-19|44940.0|0|44940.0|0|674.0|0|0.0|100
0|2021-10-20|45108.0|0|45108.0|0|675.0|0|0.0|100
0|2021-10-21|45297.0|0|45297.0|0|676.0|0|0.0|100
0|2021-10-22|45514.0|0|45514.0|0|676.0|0|0.0|100
0|2021-10-23|45514.0|0|45514.0|0|676.0|0|0.0|100
0|2021-10-24|45514.0|0|45514.0|0|676.0|0|0.0|100
0|2021-10-25|45514.0|0|45696.0|0|676.0|0|0.0|100
0|2021-10-26|45514.0|0|45696.0|0|676.0|0|0.0|100
0|2021-10-27|45720.0|0|45720.0|0|677.0|0|0.0|100
0|2021-10-28|45720.0|0|45720.0|0|677.0|0|0.0|100
0|2021-10-29|45720.0|0|45720.0|0|677.0|0|0.0|100
0|2021-10-30|45720.0|0|45720.0|0|677.0|0|0.0|100
0|2021-10-31|45720.0|0|45720.0|0|677.0|0|0.0|100
0|2021-11-01|45720.0|0|46959.0|0|677.0|0|0.0|100
0|2021-11-02|47067.0|0|47067.0|0|686.0|0|0.0|100
0|2021-11-03|47246.0|0|47246.0|0|687.0|0|0.0|100
0|2021-11-04|47436.0|0|47436.0|0|689.0|0|0.0|100
0|2021-11-05|47637.0|0|47637.0|0|690.0|0|0.0|100
0|2021-11-06|47637.0|0|47637.0|0|690.0|0|0.0|100
0|2021-11-07|47637.0|0|47637.0|0|690.0|0|0.0|100
0|2021-11-08|48237.0|0|48237.0|0|690.0|0|0.0|100
