|dates|Pierce_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Pierce_Washington_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Pierce_Washington_UnitedStates.Male_Total_Population.data|Pierce_Washington_UnitedStates.Male_Total_Population.missing|Pierce_Washington_UnitedStates.Female_Total_Population.data|Pierce_Washington_UnitedStates.Female_Total_Population.missing|Pierce_Washington_UnitedStates.MaleAndFemale_Under18_Population.data|Pierce_Washington_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-18|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-19|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-20|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-21|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-22|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-23|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-24|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-25|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-26|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-27|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-28|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-29|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-30|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-10-31|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-01|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-02|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-03|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-04|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-05|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-06|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-07|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-08|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-09|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-10|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-11|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-12|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-13|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-14|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-15|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-16|123135.0|0|443333.0|0|447966.0|0|209270.0|0
0|2021-11-17|123135.0|0|443333.0|0|447966.0|0|209270.0|0
