|dates|Bethel_Alaska_UnitedStates.JHU_ConfirmedCases.data|Bethel_Alaska_UnitedStates.JHU_ConfirmedCases.missing|Bethel_Alaska_UnitedStates.NYT_ConfirmedCases.data|Bethel_Alaska_UnitedStates.NYT_ConfirmedCases.missing|Bethel_Alaska_UnitedStates.JHU_ConfirmedDeaths.data|Bethel_Alaska_UnitedStates.JHU_ConfirmedDeaths.missing|Bethel_Alaska_UnitedStates.JHU_ConfirmedRecoveries.data|Bethel_Alaska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5630.0|0|5628.0|0|25.0|0|0.0|100
0|2021-10-18|5630.0|0|5628.0|0|25.0|0|0.0|100
0|2021-10-19|5715.0|0|5713.0|0|26.0|0|0.0|100
0|2021-10-20|5782.0|0|5780.0|0|26.0|0|0.0|100
0|2021-10-21|5811.0|0|5809.0|0|26.0|0|0.0|100
0|2021-10-22|5833.0|0|5831.0|0|27.0|0|0.0|100
0|2021-10-23|5833.0|0|5831.0|0|27.0|0|0.0|100
0|2021-10-24|5833.0|0|5831.0|0|27.0|0|0.0|100
0|2021-10-25|5864.0|0|5862.0|0|27.0|0|0.0|100
0|2021-10-26|5888.0|0|5886.0|0|27.0|0|0.0|100
0|2021-10-27|5903.0|0|5901.0|0|27.0|0|0.0|100
0|2021-10-28|5922.0|0|5920.0|0|27.0|0|0.0|100
0|2021-10-29|5990.0|0|5988.0|0|27.0|0|0.0|100
0|2021-10-30|5990.0|0|5988.0|0|27.0|0|0.0|100
0|2021-10-31|5990.0|0|5988.0|0|27.0|0|0.0|100
0|2021-11-01|6024.0|0|6022.0|0|27.0|0|0.0|100
0|2021-11-02|6025.0|0|6023.0|0|27.0|0|0.0|100
0|2021-11-03|6029.0|0|6027.0|0|27.0|0|0.0|100
0|2021-11-04|6179.0|0|6177.0|0|27.0|0|0.0|100
0|2021-11-05|6209.0|0|6207.0|0|27.0|0|0.0|100
0|2021-11-06|6209.0|0|6207.0|0|27.0|0|0.0|100
0|2021-11-07|6209.0|0|6207.0|0|27.0|0|0.0|100
0|2021-11-08|6245.0|0|6243.0|0|27.0|0|0.0|100
0|2021-11-09|6269.0|0|6267.0|0|27.0|0|0.0|100
0|2021-11-10|6269.0|0|6336.0|0|27.0|0|0.0|100
0|2021-11-11|6338.0|0|6336.0|0|27.0|0|0.0|100
0|2021-11-12|6368.0|0|6366.0|0|27.0|0|0.0|100
0|2021-11-13|6368.0|0|6366.0|0|27.0|0|0.0|100
0|2021-11-14|6368.0|0|6366.0|0|27.0|0|0.0|100
0|2021-11-15|6431.0|0|6429.0|0|27.0|0|0.0|100
0|2021-11-16|6473.0|0|6471.0|0|27.0|0|0.0|100
0|2021-11-17|6508.0|0|6506.0|0|27.0|0|0.0|100
0|2021-11-18|6557.0|0|6555.0|0|27.0|0|0.0|100
0|2021-11-19|6600.0|0|6598.0|0|27.0|0|0.0|100
0|2021-11-20|6600.0|0|6598.0|0|27.0|0|0.0|100
0|2021-11-21|6600.0|0|6598.0|0|27.0|0|0.0|100
0|2021-11-22|6634.0|0|6632.0|0|27.0|0|0.0|100
0|2021-11-23|6650.0|0|6648.0|0|27.0|0|0.0|100
0|2021-11-24|6679.0|0|6677.0|0|27.0|0|0.0|100
0|2021-11-25|6679.0|0|6677.0|0|27.0|0|0.0|100
0|2021-11-26|6711.0|0|6709.0|0|27.0|0|0.0|100
0|2021-11-27|6711.0|0|6709.0|0|27.0|0|0.0|100
0|2021-11-28|6711.0|0|6709.0|0|27.0|0|0.0|100
0|2021-11-29|6761.0|0|6759.0|0|27.0|0|0.0|100
0|2021-11-30|6761.0|0|6774.0|0|27.0|0|0.0|100
0|2021-12-01|6792.0|0|6790.0|0|27.0|0|0.0|100
0|2021-12-02|6810.0|0|6808.0|0|27.0|0|0.0|100
0|2021-12-03|6829.0|0|6827.0|0|27.0|0|0.0|100
0|2021-12-04|6829.0|0|6827.0|0|27.0|0|0.0|100
0|2021-12-05|6829.0|0|6827.0|0|27.0|0|0.0|100
0|2021-12-06|6839.0|0|6837.0|0|27.0|0|0.0|100
0|2021-12-07|6839.0|0|6837.0|0|27.0|0|0.0|100
0|2021-12-08|6851.0|0|6849.0|0|27.0|0|0.0|100
0|2021-12-09|6851.0|0|6849.0|0|27.0|0|0.0|100
0|2021-12-10|6862.0|0|6860.0|0|27.0|0|0.0|100
0|2021-12-11|6862.0|0|6860.0|0|27.0|0|0.0|100
0|2021-12-12|6862.0|0|6860.0|0|27.0|0|0.0|100
0|2021-12-13|6879.0|0|6877.0|0|27.0|0|0.0|100
0|2021-12-14|6879.0|0|6877.0|0|27.0|0|0.0|100
0|2021-12-15|6892.0|0|6890.0|0|27.0|0|0.0|100
0|2021-12-16|6892.0|0|6890.0|0|27.0|0|0.0|100
0|2021-12-17|6902.0|0|6900.0|0|28.0|0|0.0|100
0|2021-12-18|6902.0|0|6900.0|0|28.0|0|0.0|100
0|2021-12-19|6902.0|0|6900.0|0|28.0|0|0.0|100
0|2021-12-20|6912.0|0|6910.0|0|28.0|0|0.0|100
0|2021-12-21|6912.0|0|6910.0|0|28.0|0|0.0|100
0|2021-12-22|6918.0|0|6916.0|0|32.0|0|0.0|100
0|2021-12-23|6918.0|0|6916.0|0|32.0|0|0.0|100
0|2021-12-24|6918.0|0|6916.0|0|32.0|0|0.0|100
0|2021-12-25|6918.0|0|6916.0|0|32.0|0|0.0|100
0|2021-12-26|6918.0|0|6916.0|0|32.0|0|0.0|100
0|2021-12-27|6930.0|0|6928.0|0|32.0|0|0.0|100
0|2021-12-28|6930.0|0|6928.0|0|32.0|0|0.0|100
0|2021-12-29|6947.0|0|6945.0|0|32.0|0|0.0|100
0|2021-12-30|6947.0|0|6945.0|0|32.0|0|0.0|100
0|2021-12-31|6947.0|0|6945.0|0|32.0|0|0.0|100
0|2022-01-01|6947.0|0|6945.0|0|32.0|0|0.0|100
0|2022-01-02|6947.0|0|6945.0|0|32.0|0|0.0|100
0|2022-01-03|6970.0|0|6968.0|0|32.0|0|0.0|100
0|2022-01-04|6970.0|0|6968.0|0|32.0|0|0.0|100
0|2022-01-05|6993.0|0|6968.0|0|32.0|0|0.0|100
0|2022-01-06|6993.0|0|6991.0|0|32.0|0|0.0|100
0|2022-01-07|7051.0|0|7049.0|0|32.0|0|0.0|100
0|2022-01-08|7051.0|0|7049.0|0|32.0|0|0.0|100
0|2022-01-09|7051.0|0|7049.0|0|32.0|0|0.0|100
0|2022-01-10|7090.0|0|7087.0|0|32.0|0|0.0|100
0|2022-01-11|7090.0|0|7087.0|0|32.0|0|0.0|100
0|2022-01-12|7178.0|0|7174.0|0|32.0|0|0.0|100
0|2022-01-13|7178.0|0|7174.0|0|32.0|0|0.0|100
0|2022-01-14|7307.0|0|7303.0|0|32.0|0|0.0|100
0|2022-01-15|7307.0|0|7303.0|0|32.0|0|0.0|100
0|2022-01-16|7307.0|0|7303.0|0|32.0|0|0.0|100
0|2022-01-17|7307.0|0|0.0|100|32.0|0|0.0|100
