|dates|Columbia_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Columbia_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Columbia_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Columbia_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Columbia_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Columbia_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Columbia_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Columbia_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3360.0|0|3360.0|0|72.0|0|0.0|100
0|2021-10-18|3362.0|0|3362.0|0|72.0|0|0.0|100
0|2021-10-19|3366.0|0|3366.0|0|72.0|0|0.0|100
0|2021-10-20|3369.0|0|3369.0|0|72.0|0|0.0|100
0|2021-10-21|3370.0|0|3370.0|0|72.0|0|0.0|100
0|2021-10-22|3372.0|0|3372.0|0|72.0|0|0.0|100
0|2021-10-23|3372.0|0|3372.0|0|72.0|0|0.0|100
0|2021-10-24|3375.0|0|3375.0|0|72.0|0|0.0|100
0|2021-10-25|3375.0|0|3375.0|0|72.0|0|0.0|100
0|2021-10-26|3379.0|0|3379.0|0|72.0|0|0.0|100
0|2021-10-27|3383.0|0|3383.0|0|73.0|0|0.0|100
0|2021-10-28|3386.0|0|3386.0|0|73.0|0|0.0|100
0|2021-10-29|3385.0|0|3385.0|0|74.0|0|0.0|100
0|2021-10-30|3385.0|0|3385.0|0|74.0|0|0.0|100
0|2021-10-31|3385.0|0|3385.0|0|74.0|0|0.0|100
0|2021-11-01|3385.0|0|3385.0|0|74.0|0|0.0|100
0|2021-11-02|3385.0|0|3385.0|0|74.0|0|0.0|100
0|2021-11-03|3386.0|0|3386.0|0|74.0|0|0.0|100
0|2021-11-04|3386.0|0|3386.0|0|74.0|0|0.0|100
0|2021-11-05|3387.0|0|3387.0|0|74.0|0|0.0|100
0|2021-11-06|3389.0|0|3389.0|0|74.0|0|0.0|100
0|2021-11-07|3389.0|0|3389.0|0|74.0|0|0.0|100
0|2021-11-08|3389.0|0|3389.0|0|74.0|0|0.0|100
0|2021-11-09|3393.0|0|3393.0|0|74.0|0|0.0|100
0|2021-11-10|3393.0|0|3393.0|0|74.0|0|0.0|100
0|2021-11-11|3396.0|0|3396.0|0|74.0|0|0.0|100
0|2021-11-12|3397.0|0|3397.0|0|74.0|0|0.0|100
0|2021-11-13|3397.0|0|3397.0|0|74.0|0|0.0|100
0|2021-11-14|3397.0|0|3397.0|0|74.0|0|0.0|100
0|2021-11-15|3398.0|0|3398.0|0|74.0|0|0.0|100
0|2021-11-16|3401.0|0|3401.0|0|74.0|0|0.0|100
