|dates|Abbeville_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|Abbeville_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Abbeville_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|Abbeville_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Abbeville_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Abbeville_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Abbeville_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Abbeville_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3764.0|0|3764.0|0|49.0|0|0.0|100
0|2021-10-18|3791.0|0|3791.0|0|49.0|0|0.0|100
0|2021-10-19|3793.0|0|3793.0|0|49.0|0|0.0|100
0|2021-10-20|3802.0|0|3802.0|0|49.0|0|0.0|100
0|2021-10-21|3805.0|0|3805.0|0|49.0|0|0.0|100
0|2021-10-22|3817.0|0|3817.0|0|49.0|0|0.0|100
0|2021-10-23|3817.0|0|3817.0|0|49.0|0|0.0|100
0|2021-10-24|3817.0|0|3817.0|0|49.0|0|0.0|100
0|2021-10-25|3825.0|0|3825.0|0|49.0|0|0.0|100
0|2021-10-26|3827.0|0|3827.0|0|49.0|0|0.0|100
0|2021-10-27|3829.0|0|3829.0|0|49.0|0|0.0|100
0|2021-10-28|3829.0|0|3829.0|0|49.0|0|0.0|100
0|2021-10-29|3831.0|0|3831.0|0|49.0|0|0.0|100
0|2021-10-30|3831.0|0|3831.0|0|49.0|0|0.0|100
0|2021-10-31|3831.0|0|3831.0|0|49.0|0|0.0|100
0|2021-11-01|3843.0|0|3843.0|0|49.0|0|0.0|100
0|2021-11-02|3844.0|0|3844.0|0|49.0|0|0.0|100
0|2021-11-03|3845.0|0|3845.0|0|50.0|0|0.0|100
0|2021-11-04|3852.0|0|3852.0|0|50.0|0|0.0|100
0|2021-11-05|3854.0|0|3854.0|0|50.0|0|0.0|100
0|2021-11-06|3854.0|0|3854.0|0|50.0|0|0.0|100
0|2021-11-07|3854.0|0|3854.0|0|50.0|0|0.0|100
0|2021-11-08|3873.0|0|3873.0|0|50.0|0|0.0|100
0|2021-11-09|3875.0|0|3875.0|0|50.0|0|0.0|100
0|2021-11-10|3879.0|0|3879.0|0|50.0|0|0.0|100
