|dates|Denver_Colorado_UnitedStates.JHU_ConfirmedCases.data|Denver_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Denver_Colorado_UnitedStates.NYT_ConfirmedCases.data|Denver_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Denver_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Denver_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Denver_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Denver_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|88868.0|0|88868.0|0|923.0|0|0.0|100
0|2021-10-18|89363.0|0|89363.0|0|925.0|0|0.0|100
0|2021-10-19|89527.0|0|89527.0|0|925.0|0|0.0|100
0|2021-10-20|89724.0|0|89724.0|0|926.0|0|0.0|100
0|2021-10-21|90001.0|0|90001.0|0|927.0|0|0.0|100
0|2021-10-22|90270.0|0|90270.0|0|929.0|0|0.0|100
0|2021-10-23|90270.0|0|90270.0|0|929.0|0|0.0|100
0|2021-10-24|90270.0|0|90270.0|0|929.0|0|0.0|100
0|2021-10-25|91062.0|0|91062.0|0|933.0|0|0.0|100
0|2021-10-26|91248.0|0|91248.0|0|935.0|0|0.0|100
0|2021-10-27|91545.0|0|91545.0|0|938.0|0|0.0|100
0|2021-10-28|91949.0|0|91949.0|0|940.0|0|0.0|100
0|2021-10-29|92210.0|0|92210.0|0|942.0|0|0.0|100
0|2021-10-30|92210.0|0|92210.0|0|942.0|0|0.0|100
0|2021-10-31|92210.0|0|92210.0|0|942.0|0|0.0|100
0|2021-11-01|93034.0|0|93034.0|0|944.0|0|0.0|100
0|2021-11-02|93244.0|0|93244.0|0|944.0|0|0.0|100
0|2021-11-03|93464.0|0|93464.0|0|946.0|0|0.0|100
0|2021-11-04|93866.0|0|93866.0|0|952.0|0|0.0|100
0|2021-11-05|94189.0|0|94189.0|0|957.0|0|0.0|100
0|2021-11-06|94189.0|0|94189.0|0|957.0|0|0.0|100
0|2021-11-07|94189.0|0|94189.0|0|957.0|0|0.0|100
0|2021-11-08|95099.0|0|95099.0|0|963.0|0|0.0|100
0|2021-11-09|95406.0|0|95406.0|0|966.0|0|0.0|100
0|2021-11-10|95406.0|0|95667.0|0|966.0|0|0.0|100
0|2021-11-11|96074.0|0|96074.0|0|969.0|0|0.0|100
0|2021-11-12|96348.0|0|96348.0|0|971.0|0|0.0|100
0|2021-11-13|96348.0|0|96348.0|0|971.0|0|0.0|100
0|2021-11-14|96348.0|0|96348.0|0|971.0|0|0.0|100
0|2021-11-15|97065.0|0|97065.0|0|974.0|0|0.0|100
0|2021-11-16|97411.0|0|97411.0|0|976.0|0|0.0|100
0|2021-11-17|97818.0|0|97818.0|0|977.0|0|0.0|100
0|2021-11-18|98513.0|0|98511.0|0|980.0|0|0.0|100
0|2021-11-19|98995.0|0|98995.0|0|983.0|0|0.0|100
0|2021-11-20|98995.0|0|98995.0|0|983.0|0|0.0|100
0|2021-11-21|98995.0|0|98995.0|0|983.0|0|0.0|100
0|2021-11-22|99909.0|0|99909.0|0|993.0|0|0.0|100
0|2021-11-23|100180.0|0|100180.0|0|995.0|0|0.0|100
0|2021-11-24|100476.0|0|100476.0|0|1002.0|0|0.0|100
0|2021-11-25|100834.0|0|100834.0|0|1002.0|0|0.0|100
0|2021-11-26|101075.0|0|100834.0|0|1004.0|0|0.0|100
0|2021-11-27|101075.0|0|100834.0|0|1004.0|0|0.0|100
0|2021-11-28|101075.0|0|101075.0|0|1004.0|0|0.0|100
0|2021-11-29|101619.0|0|101619.0|0|1012.0|0|0.0|100
0|2021-11-30|101619.0|0|101970.0|0|1012.0|0|0.0|100
0|2021-12-01|102219.0|0|102219.0|0|1018.0|0|0.0|100
