|dates|Sierra_NewMexico_UnitedStates.JHU_ConfirmedCases.data|Sierra_NewMexico_UnitedStates.JHU_ConfirmedCases.missing|Sierra_NewMexico_UnitedStates.NYT_ConfirmedCases.data|Sierra_NewMexico_UnitedStates.NYT_ConfirmedCases.missing|Sierra_NewMexico_UnitedStates.JHU_ConfirmedDeaths.data|Sierra_NewMexico_UnitedStates.JHU_ConfirmedDeaths.missing|Sierra_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.data|Sierra_NewMexico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1016.0|0|1016.0|0|55.0|0|0.0|100
0|2021-10-18|1029.0|0|1029.0|0|55.0|0|0.0|100
0|2021-10-19|1032.0|0|1032.0|0|55.0|0|0.0|100
0|2021-10-20|1035.0|0|1035.0|0|55.0|0|0.0|100
0|2021-10-21|1039.0|0|1039.0|0|55.0|0|0.0|100
0|2021-10-22|1044.0|0|1044.0|0|55.0|0|0.0|100
0|2021-10-23|1044.0|0|1044.0|0|55.0|0|0.0|100
0|2021-10-24|1044.0|0|1044.0|0|55.0|0|0.0|100
0|2021-10-25|1047.0|0|1047.0|0|55.0|0|0.0|100
0|2021-10-26|1051.0|0|1051.0|0|56.0|0|0.0|100
0|2021-10-27|1058.0|0|1058.0|0|56.0|0|0.0|100
0|2021-10-28|1065.0|0|1065.0|0|56.0|0|0.0|100
0|2021-10-29|1073.0|0|1073.0|0|56.0|0|0.0|100
0|2021-10-30|1073.0|0|1073.0|0|56.0|0|0.0|100
0|2021-10-31|1073.0|0|1073.0|0|56.0|0|0.0|100
0|2021-11-01|1084.0|0|1084.0|0|56.0|0|0.0|100
0|2021-11-02|1091.0|0|1091.0|0|56.0|0|0.0|100
0|2021-11-03|1096.0|0|1096.0|0|57.0|0|0.0|100
0|2021-11-04|1100.0|0|1100.0|0|57.0|0|0.0|100
0|2021-11-05|1106.0|0|1106.0|0|57.0|0|0.0|100
0|2021-11-06|1106.0|0|1106.0|0|57.0|0|0.0|100
0|2021-11-07|1106.0|0|1106.0|0|57.0|0|0.0|100
0|2021-11-08|1121.0|0|1121.0|0|57.0|0|0.0|100
0|2021-11-09|1131.0|0|1131.0|0|57.0|0|0.0|100
0|2021-11-10|1135.0|0|1135.0|0|57.0|0|0.0|100
0|2021-11-11|1135.0|0|1135.0|0|57.0|0|0.0|100
0|2021-11-12|1161.0|0|1161.0|0|57.0|0|0.0|100
0|2021-11-13|1161.0|0|1161.0|0|57.0|0|0.0|100
0|2021-11-14|1161.0|0|1161.0|0|57.0|0|0.0|100
0|2021-11-15|1179.0|0|1179.0|0|57.0|0|0.0|100
0|2021-11-16|1195.0|0|1195.0|0|58.0|0|0.0|100
0|2021-11-17|1203.0|0|1203.0|0|58.0|0|0.0|100
0|2021-11-18|1216.0|0|1216.0|0|58.0|0|0.0|100
0|2021-11-19|1227.0|0|1227.0|0|58.0|0|0.0|100
0|2021-11-20|1227.0|0|1227.0|0|58.0|0|0.0|100
0|2021-11-21|1227.0|0|1227.0|0|58.0|0|0.0|100
0|2021-11-22|1256.0|0|1256.0|0|59.0|0|0.0|100
0|2021-11-23|1260.0|0|1260.0|0|59.0|0|0.0|100
0|2021-11-24|1267.0|0|1267.0|0|59.0|0|0.0|100
0|2021-11-25|1267.0|0|1267.0|0|59.0|0|0.0|100
0|2021-11-26|1267.0|0|1267.0|0|59.0|0|0.0|100
0|2021-11-27|1267.0|0|1267.0|0|59.0|0|0.0|100
0|2021-11-28|1267.0|0|1267.0|0|59.0|0|0.0|100
0|2021-11-29|1305.0|0|1305.0|0|59.0|0|0.0|100
0|2021-11-30|1311.0|0|1311.0|0|59.0|0|0.0|100
