|dates|Harrison_Indiana_UnitedStates.JHU_ConfirmedCases.data|Harrison_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Harrison_Indiana_UnitedStates.NYT_ConfirmedCases.data|Harrison_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Harrison_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Harrison_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Harrison_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Harrison_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|6415.0|0|6420.0|0|91.0|0|0.0|100
0|2021-10-18|6444.0|0|6449.0|0|91.0|0|0.0|100
0|2021-10-19|6458.0|0|6463.0|0|91.0|0|0.0|100
0|2021-10-20|6466.0|0|6471.0|0|91.0|0|0.0|100
0|2021-10-21|6475.0|0|6480.0|0|91.0|0|0.0|100
0|2021-10-22|6491.0|0|6496.0|0|92.0|0|0.0|100
0|2021-10-23|6491.0|0|6496.0|0|92.0|0|0.0|100
0|2021-10-24|6491.0|0|6496.0|0|92.0|0|0.0|100
0|2021-10-25|6518.0|0|6523.0|0|92.0|0|0.0|100
0|2021-10-26|6532.0|0|6537.0|0|93.0|0|0.0|100
0|2021-10-27|6545.0|0|6550.0|0|93.0|0|0.0|100
0|2021-10-28|6556.0|0|6561.0|0|94.0|0|0.0|100
0|2021-10-29|6569.0|0|6574.0|0|95.0|0|0.0|100
0|2021-10-30|6569.0|0|6574.0|0|95.0|0|0.0|100
0|2021-10-31|6569.0|0|6574.0|0|95.0|0|0.0|100
0|2021-11-01|6578.0|0|6583.0|0|95.0|0|0.0|100
0|2021-11-02|6580.0|0|6585.0|0|94.0|0|0.0|100
0|2021-11-03|6583.0|0|6588.0|0|94.0|0|0.0|100
0|2021-11-04|6593.0|0|6598.0|0|94.0|0|0.0|100
0|2021-11-05|6607.0|0|6612.0|0|94.0|0|0.0|100
0|2021-11-06|6607.0|0|6612.0|0|94.0|0|0.0|100
0|2021-11-07|6607.0|0|6612.0|0|94.0|0|0.0|100
0|2021-11-08|6627.0|0|6632.0|0|94.0|0|0.0|100
0|2021-11-09|6631.0|0|6636.0|0|95.0|0|0.0|100
0|2021-11-10|6631.0|0|6644.0|0|95.0|0|0.0|100
0|2021-11-11|6682.0|0|6687.0|0|95.0|0|0.0|100
0|2021-11-12|6691.0|0|6696.0|0|95.0|0|0.0|100
0|2021-11-13|6691.0|0|6696.0|0|95.0|0|0.0|100
0|2021-11-14|6691.0|0|6696.0|0|95.0|0|0.0|100
0|2021-11-15|6705.0|0|6710.0|0|95.0|0|0.0|100
0|2021-11-16|6724.0|0|6729.0|0|95.0|0|0.0|100
0|2021-11-17|6729.0|0|6734.0|0|95.0|0|0.0|100
0|2021-11-18|6735.0|0|6740.0|0|95.0|0|0.0|100
0|2021-11-19|6746.0|0|6751.0|0|95.0|0|0.0|100
0|2021-11-20|6746.0|0|6751.0|0|95.0|0|0.0|100
0|2021-11-21|6746.0|0|6751.0|0|95.0|0|0.0|100
0|2021-11-22|6785.0|0|6790.0|0|95.0|0|0.0|100
0|2021-11-23|6800.0|0|6805.0|0|95.0|0|0.0|100
0|2021-11-24|6806.0|0|6811.0|0|96.0|0|0.0|100
0|2021-11-25|6806.0|0|6811.0|0|96.0|0|0.0|100
0|2021-11-26|6806.0|0|6811.0|0|96.0|0|0.0|100
0|2021-11-27|6806.0|0|6811.0|0|96.0|0|0.0|100
0|2021-11-28|6806.0|0|6811.0|0|96.0|0|0.0|100
0|2021-11-29|6852.0|0|6857.0|0|96.0|0|0.0|100
0|2021-11-30|6882.0|0|6887.0|0|98.0|0|0.0|100
0|2021-12-01|6905.0|0|6910.0|0|100.0|0|0.0|100
