|dates|Alachua_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Alachua_Florida_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Alachua_Florida_UnitedStates.Male_Total_Population.data|Alachua_Florida_UnitedStates.Male_Total_Population.missing|Alachua_Florida_UnitedStates.Female_Total_Population.data|Alachua_Florida_UnitedStates.Female_Total_Population.missing|Alachua_Florida_UnitedStates.MaleAndFemale_Under18_Population.data|Alachua_Florida_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-18|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-19|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-20|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-21|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-22|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-23|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-24|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-25|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-26|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-27|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-28|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-29|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-30|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-10-31|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-01|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-02|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-03|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-04|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-05|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-06|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-07|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-08|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-09|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-10|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-11|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-12|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-13|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-14|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-15|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-16|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-17|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-18|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-19|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-20|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-21|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-22|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-23|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-24|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-25|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-26|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-27|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-28|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-29|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-11-30|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-01|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-02|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-03|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-04|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-05|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-06|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-07|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-08|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-09|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-10|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-11|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-12|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-13|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-14|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-15|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-16|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-17|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-18|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-19|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-20|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-21|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-22|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-23|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-24|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-25|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-26|37836.0|0|130428.0|0|139528.0|0|48541.0|0
0|2021-12-27|37836.0|0|130428.0|0|139528.0|0|48541.0|0
