|dates|Franklin_Idaho_UnitedStates.BLS_EmployedPopulation.data|Franklin_Idaho_UnitedStates.BLS_EmployedPopulation.missing|Franklin_Idaho_UnitedStates.BLS_UnemployedPopulation.data|Franklin_Idaho_UnitedStates.BLS_UnemployedPopulation.missing|Franklin_Idaho_UnitedStates.BLS_UnemploymentRate.data|Franklin_Idaho_UnitedStates.BLS_UnemploymentRate.missing|Franklin_Idaho_UnitedStates.BLS_LaborForcePopulation.data|Franklin_Idaho_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-18|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-19|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-20|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-21|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-22|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-23|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-24|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-25|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-26|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-27|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-28|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-29|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-30|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-10-31|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-01|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-02|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-03|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-04|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-05|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-06|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-07|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-08|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-09|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-10|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-11|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-12|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-13|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-14|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-15|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-16|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-17|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-18|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-19|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-20|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-21|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-22|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-23|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-24|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-25|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-26|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-27|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-28|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-29|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-11-30|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-12-01|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
0|2021-12-02|6972.0|0|146.0|0|2.051137960101152|0|7118.0|0
