|dates|Parke_Indiana_UnitedStates.AveragePrecipitationTotal.data|Parke_Indiana_UnitedStates.AveragePrecipitationTotal.missing|Parke_Indiana_UnitedStates.AveragePrecipitation.data|Parke_Indiana_UnitedStates.AveragePrecipitation.missing|Parke_Indiana_UnitedStates.AverageWindDirection.data|Parke_Indiana_UnitedStates.AverageWindDirection.missing|Parke_Indiana_UnitedStates.AverageWindSpeed.data|Parke_Indiana_UnitedStates.AverageWindSpeed.missing
0|2021-10-17|0.0|0|0.0|0|231.77083333333334|0|7.583333333333333|0
0|2021-10-18|0.0|0|0.0|0|126.77083333333333|0|3.9947916666666665|0
0|2021-10-19|0.0|0|0.0|0|165.26041666666666|0|5.890625|0
0|2021-10-20|0.0|0|0.0|0|165.72916666666666|0|9.364583333333334|0
0|2021-10-21|0.0|0|0.0|0|255.41666666666666|0|13.229166666666666|0
0|2021-10-22|0.0|0|0.0004166666666666667|0|235.10416666666666|0|6.489583333333333|0
0|2021-10-23|0.00020833333333333335|0|0.0|0|65.52083333333333|0|3.1354166666666665|0
0|2021-10-24|0.0025|0|0.034687499999999996|0|110.9375|0|9.96875|0
0|2021-10-25|0.02625|0|0.006666666666666668|0|275.5208333333333|0|14.489583333333334|0
0|2021-10-26|0.0|0|0.0|0|133.85416666666666|0|4.489583333333333|0
0|2021-10-27|0.0|0|0.0|0|89.6875|0|6.729166666666667|0
0|2021-10-28|0.000625|0|0.009062500000000003|0|99.375|0|9.75|0
0|2021-10-29|0.0060416666666666665|0|0.0016666666666666668|0|191.45833333333334|0|6.9375|0
0|2021-10-30|0.003541666666666667|0|0.005729166666666667|0|323.5416666666667|0|7.583333333333333|0
0|2021-10-31|0.0014583333333333334|0|0.0|0|277.2916666666667|0|9.166666666666666|0
0|2021-11-01|0.0|0|0.0|0|276.25|0|5.46875|0
0|2021-11-02|0.0|0|0.0|0|267.2395833333333|0|6.729166666666667|0
0|2021-11-03|0.0|0|0.0|0|98.02083333333333|0|1.5208333333333333|0
