|dates|Greeley_Kansas_UnitedStates.JHU_ConfirmedCases.data|Greeley_Kansas_UnitedStates.JHU_ConfirmedCases.missing|Greeley_Kansas_UnitedStates.NYT_ConfirmedCases.data|Greeley_Kansas_UnitedStates.NYT_ConfirmedCases.missing|Greeley_Kansas_UnitedStates.JHU_ConfirmedDeaths.data|Greeley_Kansas_UnitedStates.JHU_ConfirmedDeaths.missing|Greeley_Kansas_UnitedStates.JHU_ConfirmedRecoveries.data|Greeley_Kansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|150.0|0|150.0|0|2.0|0|0.0|100
0|2021-10-18|152.0|0|152.0|0|2.0|0|0.0|100
0|2021-10-19|152.0|0|152.0|0|2.0|0|0.0|100
0|2021-10-20|152.0|0|152.0|0|2.0|0|0.0|100
0|2021-10-21|152.0|0|152.0|0|2.0|0|0.0|100
0|2021-10-22|153.0|0|153.0|0|2.0|0|0.0|100
0|2021-10-23|153.0|0|153.0|0|2.0|0|0.0|100
0|2021-10-24|153.0|0|153.0|0|2.0|0|0.0|100
0|2021-10-25|154.0|0|154.0|0|2.0|0|0.0|100
0|2021-10-26|154.0|0|154.0|0|2.0|0|0.0|100
0|2021-10-27|159.0|0|159.0|0|2.0|0|0.0|100
0|2021-10-28|159.0|0|159.0|0|2.0|0|0.0|100
0|2021-10-29|161.0|0|161.0|0|3.0|0|0.0|100
0|2021-10-30|161.0|0|161.0|0|3.0|0|0.0|100
0|2021-10-31|161.0|0|161.0|0|3.0|0|0.0|100
0|2021-11-01|166.0|0|166.0|0|3.0|0|0.0|100
0|2021-11-02|166.0|0|166.0|0|3.0|0|0.0|100
0|2021-11-03|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-04|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-05|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-06|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-07|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-08|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-09|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-10|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-11|168.0|0|168.0|0|3.0|0|0.0|100
0|2021-11-12|170.0|0|170.0|0|3.0|0|0.0|100
0|2021-11-13|170.0|0|170.0|0|3.0|0|0.0|100
0|2021-11-14|170.0|0|170.0|0|3.0|0|0.0|100
0|2021-11-15|173.0|0|173.0|0|3.0|0|0.0|100
0|2021-11-16|173.0|0|173.0|0|3.0|0|0.0|100
0|2021-11-17|173.0|0|173.0|0|3.0|0|0.0|100
0|2021-11-18|173.0|0|173.0|0|3.0|0|0.0|100
0|2021-11-19|174.0|0|174.0|0|3.0|0|0.0|100
0|2021-11-20|174.0|0|174.0|0|3.0|0|0.0|100
0|2021-11-21|174.0|0|174.0|0|3.0|0|0.0|100
0|2021-11-22|178.0|0|178.0|0|3.0|0|0.0|100
0|2021-11-23|178.0|0|178.0|0|3.0|0|0.0|100
0|2021-11-24|178.0|0|186.0|0|3.0|0|0.0|100
0|2021-11-25|186.0|0|186.0|0|3.0|0|0.0|100
0|2021-11-26|186.0|0|186.0|0|3.0|0|0.0|100
0|2021-11-27|186.0|0|186.0|0|3.0|0|0.0|100
0|2021-11-28|186.0|0|186.0|0|3.0|0|0.0|100
0|2021-11-29|189.0|0|189.0|0|3.0|0|0.0|100
0|2021-11-30|189.0|0|189.0|0|3.0|0|0.0|100
0|2021-12-01|202.0|0|202.0|0|3.0|0|0.0|100
0|2021-12-02|202.0|0|202.0|0|3.0|0|0.0|100
0|2021-12-03|202.0|0|213.0|0|3.0|0|0.0|100
0|2021-12-04|213.0|0|213.0|0|3.0|0|0.0|100
0|2021-12-05|213.0|0|213.0|0|3.0|0|0.0|100
0|2021-12-06|216.0|0|216.0|0|3.0|0|0.0|100
0|2021-12-07|216.0|0|216.0|0|3.0|0|0.0|100
0|2021-12-08|220.0|0|220.0|0|3.0|0|0.0|100
0|2021-12-09|220.0|0|220.0|0|3.0|0|0.0|100
0|2021-12-10|225.0|0|225.0|0|3.0|0|0.0|100
0|2021-12-11|225.0|0|225.0|0|3.0|0|0.0|100
0|2021-12-12|225.0|0|225.0|0|3.0|0|0.0|100
0|2021-12-13|226.0|0|226.0|0|3.0|0|0.0|100
0|2021-12-14|226.0|0|226.0|0|3.0|0|0.0|100
0|2021-12-15|229.0|0|229.0|0|3.0|0|0.0|100
0|2021-12-16|229.0|0|229.0|0|3.0|0|0.0|100
0|2021-12-17|229.0|0|229.0|0|3.0|0|0.0|100
0|2021-12-18|229.0|0|229.0|0|3.0|0|0.0|100
0|2021-12-19|229.0|0|229.0|0|3.0|0|0.0|100
0|2021-12-20|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-21|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-22|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-23|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-24|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-25|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-26|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-27|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-28|231.0|0|231.0|0|3.0|0|0.0|100
0|2021-12-29|235.0|0|235.0|0|3.0|0|0.0|100
0|2021-12-30|235.0|0|235.0|0|3.0|0|0.0|100
0|2021-12-31|235.0|0|235.0|0|3.0|0|0.0|100
0|2022-01-01|235.0|0|235.0|0|3.0|0|0.0|100
0|2022-01-02|235.0|0|235.0|0|3.0|0|0.0|100
0|2022-01-03|237.0|0|237.0|0|3.0|0|0.0|100
0|2022-01-04|237.0|0|237.0|0|3.0|0|0.0|100
0|2022-01-05|238.0|0|238.0|0|3.0|0|0.0|100
0|2022-01-06|238.0|0|238.0|0|3.0|0|0.0|100
0|2022-01-07|243.0|0|243.0|0|3.0|0|0.0|100
0|2022-01-08|243.0|0|243.0|0|3.0|0|0.0|100
0|2022-01-09|243.0|0|243.0|0|3.0|0|0.0|100
0|2022-01-10|244.0|0|244.0|0|3.0|0|0.0|100
0|2022-01-11|244.0|0|244.0|0|3.0|0|0.0|100
0|2022-01-12|244.0|0|249.0|0|3.0|0|0.0|100
0|2022-01-13|244.0|0|253.0|0|3.0|0|0.0|100
0|2022-01-14|262.0|0|262.0|0|3.0|0|0.0|100
0|2022-01-15|262.0|0|262.0|0|3.0|0|0.0|100
0|2022-01-16|262.0|0|262.0|0|3.0|0|0.0|100
0|2022-01-17|262.0|0|0.0|100|3.0|0|0.0|100
