|dates|York_SouthCarolina_UnitedStates.JHU_ConfirmedCases.data|York_SouthCarolina_UnitedStates.JHU_ConfirmedCases.missing|York_SouthCarolina_UnitedStates.NYT_ConfirmedCases.data|York_SouthCarolina_UnitedStates.NYT_ConfirmedCases.missing|York_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|York_SouthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|York_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|York_SouthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|46055.0|0|46055.0|0|493.0|0|0.0|100
0|2021-10-18|46288.0|0|46288.0|0|498.0|0|0.0|100
0|2021-10-19|46325.0|0|46325.0|0|498.0|0|0.0|100
0|2021-10-20|46377.0|0|46377.0|0|500.0|0|0.0|100
0|2021-10-21|46415.0|0|46415.0|0|500.0|0|0.0|100
0|2021-10-22|46475.0|0|46475.0|0|501.0|0|0.0|100
0|2021-10-23|46475.0|0|46475.0|0|501.0|0|0.0|100
0|2021-10-24|46475.0|0|46475.0|0|501.0|0|0.0|100
0|2021-10-25|46610.0|0|46610.0|0|502.0|0|0.0|100
0|2021-10-26|46650.0|0|46650.0|0|502.0|0|0.0|100
0|2021-10-27|46686.0|0|46686.0|0|504.0|0|0.0|100
0|2021-10-28|46729.0|0|46729.0|0|506.0|0|0.0|100
0|2021-10-29|46776.0|0|46776.0|0|508.0|0|0.0|100
0|2021-10-30|46776.0|0|46776.0|0|508.0|0|0.0|100
0|2021-10-31|46776.0|0|46776.0|0|508.0|0|0.0|100
0|2021-11-01|46880.0|0|46880.0|0|508.0|0|0.0|100
0|2021-11-02|46902.0|0|46902.0|0|512.0|0|0.0|100
0|2021-11-03|46937.0|0|46937.0|0|512.0|0|0.0|100
0|2021-11-04|46972.0|0|46972.0|0|515.0|0|0.0|100
0|2021-11-05|47061.0|0|47061.0|0|515.0|0|0.0|100
0|2021-11-06|47061.0|0|47061.0|0|515.0|0|0.0|100
0|2021-11-07|47061.0|0|47061.0|0|515.0|0|0.0|100
0|2021-11-08|47172.0|0|47172.0|0|517.0|0|0.0|100
0|2021-11-09|47200.0|0|47200.0|0|517.0|0|0.0|100
