|dates|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Aurora_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Aurora_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Aurora_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|537.0|0|537.0|0|16.0|0|0.0|100
0|2021-10-18|537.0|0|539.0|0|16.0|0|0.0|100
0|2021-10-19|537.0|0|539.0|0|16.0|0|0.0|100
0|2021-10-20|540.0|0|540.0|0|17.0|0|0.0|100
0|2021-10-21|542.0|0|542.0|0|17.0|0|0.0|100
0|2021-10-22|542.0|0|542.0|0|17.0|0|0.0|100
0|2021-10-23|542.0|0|542.0|0|17.0|0|0.0|100
0|2021-10-24|542.0|0|542.0|0|17.0|0|0.0|100
0|2021-10-25|542.0|0|542.0|0|17.0|0|0.0|100
0|2021-10-26|543.0|0|543.0|0|17.0|0|0.0|100
0|2021-10-27|543.0|0|543.0|0|17.0|0|0.0|100
0|2021-10-28|544.0|0|544.0|0|17.0|0|0.0|100
0|2021-10-29|545.0|0|545.0|0|17.0|0|0.0|100
0|2021-10-30|545.0|0|545.0|0|17.0|0|0.0|100
0|2021-10-31|545.0|0|545.0|0|17.0|0|0.0|100
0|2021-11-01|545.0|0|545.0|0|17.0|0|0.0|100
0|2021-11-02|550.0|0|550.0|0|17.0|0|0.0|100
0|2021-11-03|555.0|0|555.0|0|17.0|0|0.0|100
0|2021-11-04|557.0|0|557.0|0|17.0|0|0.0|100
0|2021-11-05|558.0|0|558.0|0|17.0|0|0.0|100
0|2021-11-06|558.0|0|558.0|0|17.0|0|0.0|100
0|2021-11-07|558.0|0|558.0|0|17.0|0|0.0|100
0|2021-11-08|560.0|0|560.0|0|17.0|0|0.0|100
