|dates|Routt_Colorado_UnitedStates.JHU_ConfirmedCases.data|Routt_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Routt_Colorado_UnitedStates.NYT_ConfirmedCases.data|Routt_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Routt_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Routt_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Routt_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Routt_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|3245.0|0|3245.0|0|23.0|0|0.0|100
0|2021-10-18|3266.0|0|3266.0|0|23.0|0|0.0|100
0|2021-10-19|3282.0|0|3282.0|0|23.0|0|0.0|100
0|2021-10-20|3297.0|0|3297.0|0|23.0|0|0.0|100
0|2021-10-21|3312.0|0|3312.0|0|23.0|0|0.0|100
0|2021-10-22|3322.0|0|3322.0|0|23.0|0|0.0|100
0|2021-10-23|3322.0|0|3322.0|0|23.0|0|0.0|100
0|2021-10-24|3322.0|0|3322.0|0|23.0|0|0.0|100
0|2021-10-25|3341.0|0|3341.0|0|23.0|0|0.0|100
0|2021-10-26|3356.0|0|3356.0|0|23.0|0|0.0|100
0|2021-10-27|3383.0|0|3383.0|0|23.0|0|0.0|100
0|2021-10-28|3403.0|0|3403.0|0|23.0|0|0.0|100
0|2021-10-29|3418.0|0|3418.0|0|23.0|0|0.0|100
0|2021-10-30|3418.0|0|3418.0|0|23.0|0|0.0|100
0|2021-10-31|3418.0|0|3418.0|0|23.0|0|0.0|100
0|2021-11-01|3454.0|0|3454.0|0|23.0|0|0.0|100
0|2021-11-02|3469.0|0|3469.0|0|23.0|0|0.0|100
0|2021-11-03|3492.0|0|3492.0|0|23.0|0|0.0|100
0|2021-11-04|3515.0|0|3515.0|0|23.0|0|0.0|100
0|2021-11-05|3530.0|0|3530.0|0|23.0|0|0.0|100
0|2021-11-06|3530.0|0|3530.0|0|23.0|0|0.0|100
0|2021-11-07|3530.0|0|3530.0|0|23.0|0|0.0|100
0|2021-11-08|3576.0|0|3576.0|0|23.0|0|0.0|100
0|2021-11-09|3604.0|0|3604.0|0|23.0|0|0.0|100
0|2021-11-10|3604.0|0|3633.0|0|23.0|0|0.0|100
0|2021-11-11|3648.0|0|3648.0|0|23.0|0|0.0|100
0|2021-11-12|3670.0|0|3670.0|0|23.0|0|0.0|100
0|2021-11-13|3670.0|0|3670.0|0|23.0|0|0.0|100
