|dates|Hartley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hartley_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hartley_Texas_UnitedStates.Male_Total_Population.data|Hartley_Texas_UnitedStates.Male_Total_Population.missing|Hartley_Texas_UnitedStates.Female_Total_Population.data|Hartley_Texas_UnitedStates.Female_Total_Population.missing|Hartley_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Hartley_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-18|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-19|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-20|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-21|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-22|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-23|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-24|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-25|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-26|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-27|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-28|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-29|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-30|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-10-31|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-01|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-02|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-03|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-04|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-05|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-06|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-07|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-08|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-09|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-10|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-11|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-12|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-13|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-14|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-15|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-16|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-17|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-18|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-19|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-20|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-21|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-22|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-23|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-24|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-25|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-26|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-27|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-28|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-29|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-11-30|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-01|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-02|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-03|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-04|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-05|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-06|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-07|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-08|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-09|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-10|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-11|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-12|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-13|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-14|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-15|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-16|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-17|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-18|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-19|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-20|854.0|0|3365.0|0|2254.0|0|1184.0|0
0|2021-12-21|854.0|0|3365.0|0|2254.0|0|1184.0|0
