|dates|Columbia_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Columbia_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Columbia_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Columbia_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Columbia_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Columbia_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Columbia_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Columbia_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7541.0|0|7541.0|0|149.0|0|0.0|100
0|2021-10-18|7557.0|0|7557.0|0|150.0|0|0.0|100
0|2021-10-19|7580.0|0|7580.0|0|150.0|0|0.0|100
0|2021-10-20|7613.0|0|7613.0|0|150.0|0|0.0|100
0|2021-10-21|7653.0|0|7653.0|0|150.0|0|0.0|100
0|2021-10-22|7689.0|0|7689.0|0|151.0|0|0.0|100
0|2021-10-23|7733.0|0|7733.0|0|151.0|0|0.0|100
0|2021-10-24|7776.0|0|7776.0|0|151.0|0|0.0|100
0|2021-10-25|7813.0|0|7813.0|0|151.0|0|0.0|100
0|2021-10-26|7847.0|0|7847.0|0|151.0|0|0.0|100
0|2021-10-27|7882.0|0|7882.0|0|153.0|0|0.0|100
0|2021-10-28|7911.0|0|7911.0|0|153.0|0|0.0|100
0|2021-10-29|7945.0|0|7945.0|0|153.0|0|0.0|100
0|2021-10-30|7963.0|0|7963.0|0|154.0|0|0.0|100
0|2021-10-31|8004.0|0|8004.0|0|154.0|0|0.0|100
0|2021-11-01|8004.0|0|8004.0|0|154.0|0|0.0|100
0|2021-11-02|8048.0|0|8048.0|0|155.0|0|0.0|100
0|2021-11-03|8064.0|0|8064.0|0|155.0|0|0.0|100
0|2021-11-04|8093.0|0|8093.0|0|155.0|0|0.0|100
0|2021-11-05|8144.0|0|8144.0|0|155.0|0|0.0|100
0|2021-11-06|8175.0|0|8175.0|0|155.0|0|0.0|100
0|2021-11-07|8211.0|0|8211.0|0|155.0|0|0.0|100
0|2021-11-08|8230.0|0|8230.0|0|155.0|0|0.0|100
0|2021-11-09|8261.0|0|8261.0|0|155.0|0|0.0|100
0|2021-11-10|8261.0|0|8304.0|0|155.0|0|0.0|100
0|2021-11-11|8352.0|0|8352.0|0|158.0|0|0.0|100
0|2021-11-12|8385.0|0|8385.0|0|158.0|0|0.0|100
0|2021-11-13|8535.0|0|8535.0|0|158.0|0|0.0|100
0|2021-11-14|8567.0|0|8567.0|0|159.0|0|0.0|100
0|2021-11-15|8582.0|0|8582.0|0|159.0|0|0.0|100
