|dates|Kaufman_Texas_UnitedStates.JHU_ConfirmedCases.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedCases.missing|Kaufman_Texas_UnitedStates.NYT_ConfirmedCases.data|Kaufman_Texas_UnitedStates.NYT_ConfirmedCases.missing|Kaufman_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Kaufman_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Kaufman_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|23536.0|0|23536.0|0|405.0|0|0.0|100
0|2021-10-18|23536.0|0|23536.0|0|405.0|0|0.0|100
0|2021-10-19|23635.0|0|23635.0|0|408.0|0|0.0|100
0|2021-10-20|23672.0|0|23672.0|0|412.0|0|0.0|100
0|2021-10-21|23722.0|0|23722.0|0|413.0|0|0.0|100
0|2021-10-22|23752.0|0|23752.0|0|413.0|0|0.0|100
0|2021-10-23|23800.0|0|23800.0|0|413.0|0|0.0|100
0|2021-10-24|23800.0|0|23800.0|0|413.0|0|0.0|100
0|2021-10-25|23800.0|0|23800.0|0|414.0|0|0.0|100
0|2021-10-26|23872.0|0|23872.0|0|416.0|0|0.0|100
0|2021-10-27|23898.0|0|23898.0|0|416.0|0|0.0|100
0|2021-10-28|23947.0|0|23947.0|0|417.0|0|0.0|100
0|2021-10-29|23956.0|0|23956.0|0|417.0|0|0.0|100
0|2021-10-30|23973.0|0|23973.0|0|417.0|0|0.0|100
0|2021-10-31|23973.0|0|23973.0|0|417.0|0|0.0|100
0|2021-11-01|23973.0|0|23973.0|0|417.0|0|0.0|100
0|2021-11-02|24053.0|0|24053.0|0|417.0|0|0.0|100
0|2021-11-03|24067.0|0|24067.0|0|417.0|0|0.0|100
0|2021-11-04|24084.0|0|24084.0|0|420.0|0|0.0|100
0|2021-11-05|24094.0|0|24094.0|0|420.0|0|0.0|100
0|2021-11-06|24104.0|0|24104.0|0|421.0|0|0.0|100
0|2021-11-07|24104.0|0|24104.0|0|421.0|0|0.0|100
0|2021-11-08|24104.0|0|24104.0|0|421.0|0|0.0|100
0|2021-11-09|24143.0|0|24143.0|0|422.0|0|0.0|100
0|2021-11-10|24143.0|0|24143.0|0|422.0|0|0.0|100
0|2021-11-11|24167.0|0|24167.0|0|427.0|0|0.0|100
0|2021-11-12|24167.0|0|24167.0|0|428.0|0|0.0|100
0|2021-11-13|24186.0|0|24186.0|0|430.0|0|0.0|100
0|2021-11-14|24186.0|0|24186.0|0|430.0|0|0.0|100
