|dates|Unassigned_PuertoRico_UnitedStates.JHU_ConfirmedCases.data|Unassigned_PuertoRico_UnitedStates.JHU_ConfirmedCases.missing|Unassigned_PuertoRico_UnitedStates.NYT_ConfirmedCases.data|Unassigned_PuertoRico_UnitedStates.NYT_ConfirmedCases.missing|Unassigned_PuertoRico_UnitedStates.JHU_ConfirmedDeaths.data|Unassigned_PuertoRico_UnitedStates.JHU_ConfirmedDeaths.missing|Unassigned_PuertoRico_UnitedStates.JHU_ConfirmedRecoveries.data|Unassigned_PuertoRico_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|4110.0|0|5386.0|0|3207.0|0|0.0|100
0|2021-10-18|4103.0|0|5374.0|0|3207.0|0|0.0|100
0|2021-10-19|4104.0|0|5379.0|0|3209.0|0|0.0|100
0|2021-10-20|4103.0|0|5381.0|0|3213.0|0|0.0|100
0|2021-10-21|4105.0|0|5379.0|0|3215.0|0|0.0|100
0|2021-10-22|4106.0|0|5382.0|0|3219.0|0|0.0|100
0|2021-10-23|4109.0|0|5383.0|0|3220.0|0|0.0|100
0|2021-10-24|4109.0|0|5387.0|0|3221.0|0|0.0|100
0|2021-10-25|4109.0|0|5385.0|0|3221.0|0|0.0|100
0|2021-10-26|4110.0|0|5385.0|0|3223.0|0|0.0|100
0|2021-10-27|4110.0|0|5386.0|0|3227.0|0|0.0|100
0|2021-10-28|4111.0|0|5386.0|0|3228.0|0|0.0|100
0|2021-10-29|4112.0|0|5387.0|0|3229.0|0|0.0|100
0|2021-10-30|4112.0|0|5388.0|0|3232.0|0|0.0|100
0|2021-10-31|4114.0|0|5389.0|0|3234.0|0|0.0|100
0|2021-11-01|4113.0|0|5390.0|0|3234.0|0|0.0|100
0|2021-11-02|4113.0|0|5389.0|0|3236.0|0|0.0|100
0|2021-11-03|4144.0|0|5389.0|0|3236.0|0|0.0|100
0|2021-11-04|4145.0|0|5422.0|0|3239.0|0|0.0|100
0|2021-11-05|4194.0|0|5422.0|0|3239.0|0|0.0|100
0|2021-11-06|4196.0|0|5470.0|0|3244.0|0|0.0|100
0|2021-11-07|4200.0|0|5472.0|0|3245.0|0|0.0|100
0|2021-11-08|4200.0|0|5476.0|0|3246.0|0|0.0|100
0|2021-11-09|4201.0|0|5476.0|0|3247.0|0|0.0|100
0|2021-11-10|4201.0|0|5477.0|0|3247.0|0|0.0|100
0|2021-11-11|4198.0|0|5474.0|0|3252.0|0|0.0|100
0|2021-11-12|4288.0|0|5474.0|0|3256.0|0|0.0|100
0|2021-11-13|4290.0|0|5566.0|0|3257.0|0|0.0|100
0|2021-11-14|4295.0|0|5571.0|0|3257.0|0|0.0|100
0|2021-11-15|4298.0|0|5574.0|0|3257.0|0|0.0|100
0|2021-11-16|4294.0|0|5570.0|0|3258.0|0|0.0|100
0|2021-11-17|4295.0|0|5571.0|0|3259.0|0|0.0|100
0|2021-11-18|4281.0|0|5557.0|0|3259.0|0|0.0|100
0|2021-11-19|4335.0|0|5611.0|0|3260.0|0|0.0|100
0|2021-11-20|4400.0|0|5676.0|0|3261.0|0|0.0|100
0|2021-11-21|4403.0|0|5679.0|0|3262.0|0|0.0|100
