|dates|Bexar_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Bexar_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Bexar_Texas_UnitedStates.Male_Total_Population.data|Bexar_Texas_UnitedStates.Male_Total_Population.missing|Bexar_Texas_UnitedStates.Female_Total_Population.data|Bexar_Texas_UnitedStates.Female_Total_Population.missing|Bexar_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Bexar_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2022-01-02|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-03|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-04|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-05|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-06|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-07|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-08|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-09|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-10|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-11|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-12|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-13|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-14|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-15|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-16|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
0|2022-01-17|240621.0|0|980516.0|0|1005533.0|0|507669.0|0
