|dates|Monroe_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Monroe_Pennsylvania_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Monroe_Pennsylvania_UnitedStates.Male_Total_Population.data|Monroe_Pennsylvania_UnitedStates.Male_Total_Population.missing|Monroe_Pennsylvania_UnitedStates.Female_Total_Population.data|Monroe_Pennsylvania_UnitedStates.Female_Total_Population.missing|Monroe_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.data|Monroe_Pennsylvania_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-18|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-19|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-20|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-21|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-22|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-23|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-24|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-25|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-26|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-27|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-28|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-29|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-30|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-10-31|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-01|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-02|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-03|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-04|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-05|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-06|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-07|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-08|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-09|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-10|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-11|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-12|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-13|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-14|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-15|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-16|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-17|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-18|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-19|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-20|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-21|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-22|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-23|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-24|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-25|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-26|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-27|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-28|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-29|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-11-30|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-12-01|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-12-02|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-12-03|29181.0|0|83972.0|0|85535.0|0|33306.0|0
0|2021-12-04|29181.0|0|83972.0|0|85535.0|0|33306.0|0
