|dates|Putnam_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Putnam_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Putnam_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Putnam_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Putnam_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Putnam_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Putnam_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Putnam_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-18|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-19|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-20|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-21|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-22|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-23|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-24|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-25|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-26|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-27|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-28|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-29|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-30|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-10-31|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-01|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-02|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-03|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-04|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-05|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-06|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-07|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-08|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-09|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-10|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
0|2021-11-11|33817.0|0|1489.0|0|4.2174134707981645|0|35306.0|0
