|dates|Campbell_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Campbell_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Campbell_SouthDakota_UnitedStates.NYT_ConfirmedCases.data|Campbell_SouthDakota_UnitedStates.NYT_ConfirmedCases.missing|Campbell_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Campbell_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Campbell_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Campbell_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|159.0|0|159.0|0|4.0|0|0.0|100
0|2021-10-18|159.0|0|163.0|0|4.0|0|0.0|100
0|2021-10-19|159.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-20|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-21|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-22|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-23|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-24|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-25|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-26|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-27|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-28|165.0|0|165.0|0|4.0|0|0.0|100
0|2021-10-29|166.0|0|166.0|0|4.0|0|0.0|100
0|2021-10-30|166.0|0|166.0|0|4.0|0|0.0|100
0|2021-10-31|166.0|0|166.0|0|4.0|0|0.0|100
0|2021-11-01|166.0|0|166.0|0|4.0|0|0.0|100
0|2021-11-02|166.0|0|166.0|0|4.0|0|0.0|100
0|2021-11-03|168.0|0|168.0|0|4.0|0|0.0|100
0|2021-11-04|168.0|0|168.0|0|4.0|0|0.0|100
0|2021-11-05|169.0|0|169.0|0|4.0|0|0.0|100
0|2021-11-06|169.0|0|169.0|0|4.0|0|0.0|100
0|2021-11-07|169.0|0|169.0|0|4.0|0|0.0|100
0|2021-11-08|169.0|0|169.0|0|4.0|0|0.0|100
0|2021-11-09|172.0|0|172.0|0|4.0|0|0.0|100
0|2021-11-10|172.0|0|172.0|0|4.0|0|0.0|100
0|2021-11-11|172.0|0|172.0|0|4.0|0|0.0|100
0|2021-11-12|172.0|0|172.0|0|4.0|0|0.0|100
0|2021-11-13|172.0|0|172.0|0|4.0|0|0.0|100
0|2021-11-14|172.0|0|172.0|0|4.0|0|0.0|100
0|2021-11-15|172.0|0|172.0|0|4.0|0|0.0|100
0|2021-11-16|173.0|0|173.0|0|4.0|0|0.0|100
0|2021-11-17|173.0|0|173.0|0|4.0|0|0.0|100
0|2021-11-18|174.0|0|174.0|0|4.0|0|0.0|100
0|2021-11-19|175.0|0|175.0|0|4.0|0|0.0|100
0|2021-11-20|175.0|0|175.0|0|4.0|0|0.0|100
0|2021-11-21|175.0|0|175.0|0|4.0|0|0.0|100
0|2021-11-22|175.0|0|175.0|0|4.0|0|0.0|100
0|2021-11-23|176.0|0|176.0|0|4.0|0|0.0|100
0|2021-11-24|176.0|0|176.0|0|4.0|0|0.0|100
0|2021-11-25|176.0|0|176.0|0|4.0|0|0.0|100
0|2021-11-26|176.0|0|176.0|0|4.0|0|0.0|100
0|2021-11-27|176.0|0|176.0|0|4.0|0|0.0|100
0|2021-11-28|176.0|0|176.0|0|4.0|0|0.0|100
0|2021-11-29|180.0|0|180.0|0|4.0|0|0.0|100
0|2021-11-30|182.0|0|182.0|0|4.0|0|0.0|100
0|2021-12-01|186.0|0|186.0|0|5.0|0|0.0|100
0|2021-12-02|192.0|0|192.0|0|5.0|0|0.0|100
0|2021-12-03|196.0|0|196.0|0|5.0|0|0.0|100
0|2021-12-04|196.0|0|196.0|0|5.0|0|0.0|100
0|2021-12-05|196.0|0|196.0|0|5.0|0|0.0|100
0|2021-12-06|196.0|0|196.0|0|5.0|0|0.0|100
0|2021-12-07|199.0|0|199.0|0|5.0|0|0.0|100
0|2021-12-08|202.0|0|202.0|0|5.0|0|0.0|100
0|2021-12-09|204.0|0|204.0|0|5.0|0|0.0|100
0|2021-12-10|204.0|0|204.0|0|5.0|0|0.0|100
0|2021-12-11|204.0|0|204.0|0|5.0|0|0.0|100
0|2021-12-12|204.0|0|204.0|0|5.0|0|0.0|100
0|2021-12-13|205.0|0|205.0|0|5.0|0|0.0|100
0|2021-12-14|205.0|0|205.0|0|5.0|0|0.0|100
0|2021-12-15|206.0|0|206.0|0|5.0|0|0.0|100
0|2021-12-16|207.0|0|207.0|0|6.0|0|0.0|100
0|2021-12-17|207.0|0|207.0|0|6.0|0|0.0|100
0|2021-12-18|207.0|0|207.0|0|6.0|0|0.0|100
0|2021-12-19|207.0|0|207.0|0|6.0|0|0.0|100
0|2021-12-20|207.0|0|207.0|0|6.0|0|0.0|100
0|2021-12-21|208.0|0|208.0|0|6.0|0|0.0|100
0|2021-12-22|208.0|0|208.0|0|6.0|0|0.0|100
0|2021-12-23|208.0|0|208.0|0|6.0|0|0.0|100
0|2021-12-24|208.0|0|208.0|0|6.0|0|0.0|100
0|2021-12-25|208.0|0|208.0|0|6.0|0|0.0|100
0|2021-12-26|208.0|0|208.0|0|6.0|0|0.0|100
0|2021-12-27|208.0|0|208.0|0|6.0|0|0.0|100
0|2021-12-28|208.0|0|208.0|0|6.0|0|0.0|100
0|2021-12-29|210.0|0|210.0|0|6.0|0|0.0|100
0|2021-12-30|210.0|0|210.0|0|6.0|0|0.0|100
0|2021-12-31|210.0|0|210.0|0|6.0|0|0.0|100
0|2022-01-01|210.0|0|210.0|0|6.0|0|0.0|100
0|2022-01-02|210.0|0|210.0|0|6.0|0|0.0|100
0|2022-01-03|212.0|0|212.0|0|6.0|0|0.0|100
0|2022-01-04|214.0|0|214.0|0|6.0|0|0.0|100
0|2022-01-05|216.0|0|216.0|0|6.0|0|0.0|100
0|2022-01-06|217.0|0|217.0|0|6.0|0|0.0|100
0|2022-01-07|217.0|0|217.0|0|6.0|0|0.0|100
0|2022-01-08|217.0|0|217.0|0|6.0|0|0.0|100
0|2022-01-09|217.0|0|217.0|0|6.0|0|0.0|100
0|2022-01-10|218.0|0|218.0|0|6.0|0|0.0|100
0|2022-01-11|221.0|0|221.0|0|6.0|0|0.0|100
0|2022-01-12|223.0|0|223.0|0|6.0|0|0.0|100
0|2022-01-13|223.0|0|224.0|0|6.0|0|0.0|100
0|2022-01-14|224.0|0|230.0|0|6.0|0|0.0|100
0|2022-01-15|230.0|0|230.0|0|6.0|0|0.0|100
0|2022-01-16|230.0|0|230.0|0|6.0|0|0.0|100
0|2022-01-17|230.0|0|0.0|100|6.0|0|0.0|100
