|dates|JudithBasin_Montana_UnitedStates.JHU_ConfirmedCases.data|JudithBasin_Montana_UnitedStates.JHU_ConfirmedCases.missing|JudithBasin_Montana_UnitedStates.NYT_ConfirmedCases.data|JudithBasin_Montana_UnitedStates.NYT_ConfirmedCases.missing|JudithBasin_Montana_UnitedStates.JHU_ConfirmedDeaths.data|JudithBasin_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|JudithBasin_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|JudithBasin_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|141.0|0|141.0|0|1.0|0|0.0|100
0|2021-10-18|141.0|0|141.0|0|1.0|0|0.0|100
0|2021-10-19|143.0|0|143.0|0|1.0|0|0.0|100
0|2021-10-20|143.0|0|143.0|0|1.0|0|0.0|100
0|2021-10-21|143.0|0|143.0|0|1.0|0|0.0|100
0|2021-10-22|144.0|0|144.0|0|1.0|0|0.0|100
0|2021-10-23|144.0|0|144.0|0|1.0|0|0.0|100
0|2021-10-24|144.0|0|144.0|0|1.0|0|0.0|100
0|2021-10-25|146.0|0|146.0|0|1.0|0|0.0|100
0|2021-10-26|148.0|0|148.0|0|1.0|0|0.0|100
0|2021-10-27|148.0|0|148.0|0|1.0|0|0.0|100
0|2021-10-28|151.0|0|151.0|0|1.0|0|0.0|100
0|2021-10-29|151.0|0|151.0|0|1.0|0|0.0|100
0|2021-10-30|151.0|0|151.0|0|1.0|0|0.0|100
0|2021-10-31|151.0|0|151.0|0|1.0|0|0.0|100
0|2021-11-01|151.0|0|151.0|0|1.0|0|0.0|100
0|2021-11-02|152.0|0|152.0|0|1.0|0|0.0|100
0|2021-11-03|154.0|0|154.0|0|1.0|0|0.0|100
0|2021-11-04|155.0|0|155.0|0|1.0|0|0.0|100
0|2021-11-05|155.0|0|155.0|0|1.0|0|0.0|100
0|2021-11-06|155.0|0|155.0|0|1.0|0|0.0|100
0|2021-11-07|155.0|0|155.0|0|1.0|0|0.0|100
0|2021-11-08|157.0|0|157.0|0|1.0|0|0.0|100
0|2021-11-09|158.0|0|158.0|0|1.0|0|0.0|100
0|2021-11-10|158.0|0|158.0|0|1.0|0|0.0|100
