|dates|Hatillo_PuertoRico_UnitedStates.AveragePrecipitationTotal.data|Hatillo_PuertoRico_UnitedStates.AveragePrecipitationTotal.missing|Hatillo_PuertoRico_UnitedStates.AveragePrecipitation.data|Hatillo_PuertoRico_UnitedStates.AveragePrecipitation.missing|Hatillo_PuertoRico_UnitedStates.AverageWindDirection.data|Hatillo_PuertoRico_UnitedStates.AverageWindDirection.missing|Hatillo_PuertoRico_UnitedStates.AverageWindSpeed.data|Hatillo_PuertoRico_UnitedStates.AverageWindSpeed.missing
0|2020-01-01|0.0|0|0.0|0|85.625|0|11.083333333333334|0
0|2020-01-02|0.0|0|0.0|0|76.45833333333333|0|13.354166666666666|0
0|2020-01-03|0.0|0|0.0|0|95.20833333333333|0|11.513888888888888|0
0|2020-01-04|0.0|0|0.0|0|98.33333333333333|0|10.8125|0
0|2020-01-05|0.0|0|0.0|0|100.83333333333333|0|7.708333333333333|0
0|2020-01-06|0.0|0|0.0|0|107.91666666666667|0|7.25|0
0|2020-01-07|0.0|0|0.0|0|107.29166666666667|0|10.208333333333334|0
0|2020-01-08|0.0|0|0.0|0|101.25|0|9.375|0
0|2020-01-09|0.0|0|0.0|0|92.29166666666667|0|14.625|0
0|2020-01-10|0.0|0|0.0|0|97.08333333333333|0|18.520833333333332|0
0|2020-01-11|0.0|0|0.0|0|102.70833333333333|0|16.25|0
0|2020-01-12|0.0|0|0.0|0|101.66666666666667|0|13.5|0
0|2020-01-13|0.0|0|0.0|0|94.79166666666667|0|22.354166666666668|0
0|2020-01-14|0.0|0|0.0|0|93.75|0|15.729166666666666|0
0|2020-01-15|0.0|0|0.0|0|100.83333333333333|0|12.791666666666666|0
0|2020-01-16|0.0|0|0.0|0|93.54166666666667|0|9.541666666666666|0
0|2020-01-17|0.0|0|0.0|0|92.91666666666667|0|9.041666666666666|0
0|2020-01-18|0.0|0|0.0|0|91.25|0|14.604166666666666|0
0|2020-01-19|0.0|0|0.0|0|96.04166666666667|0|19.916666666666668|0
0|2020-01-20|0.0|0|0.0|0|99.79166666666667|0|10.625|0
0|2020-01-21|0.0|0|0.0|0|91.25|0|4.145833333333333|0
0|2020-01-22|0.0|0|0.0|0|133.4027777777778|0|3.6041666666666665|0
