|dates|Green_Kentucky_UnitedStates.JHU_ConfirmedCases.data|Green_Kentucky_UnitedStates.JHU_ConfirmedCases.missing|Green_Kentucky_UnitedStates.NYT_ConfirmedCases.data|Green_Kentucky_UnitedStates.NYT_ConfirmedCases.missing|Green_Kentucky_UnitedStates.JHU_ConfirmedDeaths.data|Green_Kentucky_UnitedStates.JHU_ConfirmedDeaths.missing|Green_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.data|Green_Kentucky_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2202.0|0|2416.0|0|29.0|0|0.0|100
0|2021-10-18|2215.0|0|2416.0|0|29.0|0|0.0|100
0|2021-10-19|2222.0|0|2429.0|0|29.0|0|0.0|100
0|2021-10-20|2236.0|0|2438.0|0|30.0|0|0.0|100
0|2021-10-21|2239.0|0|2446.0|0|30.0|0|0.0|100
0|2021-10-22|2242.0|0|2446.0|0|30.0|0|0.0|100
0|2021-10-23|2242.0|0|2450.0|0|30.0|0|0.0|100
0|2021-10-24|2242.0|0|2450.0|0|30.0|0|0.0|100
0|2021-10-25|2260.0|0|2452.0|0|30.0|0|0.0|100
0|2021-10-26|2283.0|0|2461.0|0|30.0|0|0.0|100
0|2021-10-27|2298.0|0|2461.0|0|30.0|0|0.0|100
0|2021-10-28|2319.0|0|2471.0|0|30.0|0|0.0|100
0|2021-10-29|2368.0|0|2471.0|0|30.0|0|0.0|100
0|2021-10-30|2368.0|0|2476.0|0|30.0|0|0.0|100
0|2021-10-31|2368.0|0|2476.0|0|30.0|0|0.0|100
0|2021-11-01|2370.0|0|2479.0|0|31.0|0|0.0|100
0|2021-11-02|2371.0|0|2479.0|0|31.0|0|0.0|100
0|2021-11-03|2382.0|0|2484.0|0|31.0|0|0.0|100
0|2021-11-04|2384.0|0|2493.0|0|31.0|0|0.0|100
0|2021-11-05|2390.0|0|2499.0|0|31.0|0|0.0|100
0|2021-11-06|2390.0|0|2499.0|0|31.0|0|0.0|100
0|2021-11-07|2390.0|0|2499.0|0|31.0|0|0.0|100
0|2021-11-08|2396.0|0|2499.0|0|31.0|0|0.0|100
0|2021-11-09|2408.0|0|2510.0|0|31.0|0|0.0|100
0|2021-11-10|2410.0|0|2516.0|0|31.0|0|0.0|100
0|2021-11-11|2410.0|0|2518.0|0|31.0|0|0.0|100
0|2021-11-12|2429.0|0|2518.0|0|33.0|0|0.0|100
0|2021-11-13|2429.0|0|2529.0|0|33.0|0|0.0|100
0|2021-11-14|2429.0|0|2529.0|0|33.0|0|0.0|100
0|2021-11-15|2445.0|0|2529.0|0|33.0|0|0.0|100
0|2021-11-16|2444.0|0|2531.0|0|33.0|0|0.0|100
0|2021-11-17|2451.0|0|2539.0|0|33.0|0|0.0|100
