|dates|Murray_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Murray_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Murray_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Murray_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Murray_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Murray_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Murray_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Murray_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1313.0|0|1313.0|0|10.0|0|0.0|100
0|2021-10-18|1315.0|0|1315.0|0|10.0|0|0.0|100
0|2021-10-19|1332.0|0|1332.0|0|10.0|0|0.0|100
0|2021-10-20|1334.0|0|1334.0|0|10.0|0|0.0|100
0|2021-10-21|1343.0|0|1343.0|0|11.0|0|0.0|100
0|2021-10-22|1350.0|0|1350.0|0|11.0|0|0.0|100
0|2021-10-23|1350.0|0|1350.0|0|11.0|0|0.0|100
0|2021-10-24|1350.0|0|1350.0|0|11.0|0|0.0|100
0|2021-10-25|1356.0|0|1356.0|0|11.0|0|0.0|100
0|2021-10-26|1370.0|0|1370.0|0|11.0|0|0.0|100
0|2021-10-27|1378.0|0|1378.0|0|11.0|0|0.0|100
0|2021-10-28|1387.0|0|1387.0|0|11.0|0|0.0|100
0|2021-10-29|1395.0|0|1395.0|0|11.0|0|0.0|100
0|2021-10-30|1395.0|0|1395.0|0|11.0|0|0.0|100
0|2021-10-31|1395.0|0|1395.0|0|11.0|0|0.0|100
0|2021-11-01|1413.0|0|1413.0|0|11.0|0|0.0|100
0|2021-11-02|1418.0|0|1418.0|0|11.0|0|0.0|100
0|2021-11-03|1420.0|0|1420.0|0|11.0|0|0.0|100
0|2021-11-04|1430.0|0|1430.0|0|11.0|0|0.0|100
0|2021-11-05|1435.0|0|1435.0|0|11.0|0|0.0|100
0|2021-11-06|1435.0|0|1435.0|0|11.0|0|0.0|100
0|2021-11-07|1435.0|0|1435.0|0|11.0|0|0.0|100
0|2021-11-08|1440.0|0|1440.0|0|11.0|0|0.0|100
0|2021-11-09|1444.0|0|1444.0|0|11.0|0|0.0|100
0|2021-11-10|1444.0|0|1448.0|0|11.0|0|0.0|100
0|2021-11-11|1451.0|0|1451.0|0|11.0|0|0.0|100
0|2021-11-12|1455.0|0|1455.0|0|11.0|0|0.0|100
0|2021-11-13|1455.0|0|1455.0|0|11.0|0|0.0|100
0|2021-11-14|1455.0|0|1455.0|0|11.0|0|0.0|100
0|2021-11-15|1459.0|0|1459.0|0|11.0|0|0.0|100
0|2021-11-16|1475.0|0|1475.0|0|11.0|0|0.0|100
0|2021-11-17|1480.0|0|1480.0|0|11.0|0|0.0|100
0|2021-11-18|1485.0|0|1485.0|0|11.0|0|0.0|100
0|2021-11-19|1490.0|0|1490.0|0|11.0|0|0.0|100
0|2021-11-20|1490.0|0|1490.0|0|11.0|0|0.0|100
0|2021-11-21|1490.0|0|1490.0|0|11.0|0|0.0|100
0|2021-11-22|1495.0|0|1495.0|0|11.0|0|0.0|100
0|2021-11-23|1504.0|0|1504.0|0|11.0|0|0.0|100
0|2021-11-24|1506.0|0|1506.0|0|11.0|0|0.0|100
0|2021-11-25|1506.0|0|1506.0|0|11.0|0|0.0|100
0|2021-11-26|1509.0|0|1509.0|0|11.0|0|0.0|100
0|2021-11-27|1509.0|0|1509.0|0|11.0|0|0.0|100
0|2021-11-28|1509.0|0|1509.0|0|11.0|0|0.0|100
0|2021-11-29|1512.0|0|1512.0|0|11.0|0|0.0|100
0|2021-11-30|1518.0|0|1518.0|0|11.0|0|0.0|100
0|2021-12-01|1518.0|0|1518.0|0|11.0|0|0.0|100
0|2021-12-02|1518.0|0|1527.0|0|11.0|0|0.0|100
0|2021-12-03|1529.0|0|1529.0|0|11.0|0|0.0|100
0|2021-12-04|1529.0|0|1529.0|0|11.0|0|0.0|100
0|2021-12-05|1529.0|0|1529.0|0|11.0|0|0.0|100
0|2021-12-06|1532.0|0|1532.0|0|11.0|0|0.0|100
0|2021-12-07|1545.0|0|1545.0|0|11.0|0|0.0|100
0|2021-12-08|1547.0|0|1547.0|0|11.0|0|0.0|100
0|2021-12-09|1553.0|0|1553.0|0|11.0|0|0.0|100
0|2021-12-10|1559.0|0|1559.0|0|11.0|0|0.0|100
0|2021-12-11|1559.0|0|1559.0|0|11.0|0|0.0|100
0|2021-12-12|1559.0|0|1559.0|0|11.0|0|0.0|100
0|2021-12-13|1560.0|0|1560.0|0|11.0|0|0.0|100
0|2021-12-14|1560.0|0|1562.0|0|11.0|0|0.0|100
0|2021-12-15|1578.0|0|1578.0|0|12.0|0|0.0|100
0|2021-12-16|1583.0|0|1583.0|0|12.0|0|0.0|100
0|2021-12-17|1586.0|0|1586.0|0|13.0|0|0.0|100
0|2021-12-18|1586.0|0|1586.0|0|13.0|0|0.0|100
0|2021-12-19|1586.0|0|1586.0|0|13.0|0|0.0|100
0|2021-12-20|1586.0|0|1586.0|0|13.0|0|0.0|100
0|2021-12-21|1589.0|0|1589.0|0|13.0|0|0.0|100
0|2021-12-22|1593.0|0|1593.0|0|13.0|0|0.0|100
0|2021-12-23|1596.0|0|1596.0|0|14.0|0|0.0|100
0|2021-12-24|1596.0|0|1596.0|0|14.0|0|0.0|100
0|2021-12-25|1596.0|0|1596.0|0|14.0|0|0.0|100
