|dates|Ochiltree_Texas_UnitedStates.JHU_ConfirmedCases.data|Ochiltree_Texas_UnitedStates.JHU_ConfirmedCases.missing|Ochiltree_Texas_UnitedStates.NYT_ConfirmedCases.data|Ochiltree_Texas_UnitedStates.NYT_ConfirmedCases.missing|Ochiltree_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Ochiltree_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Ochiltree_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Ochiltree_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1484.0|0|1484.0|0|35.0|0|0.0|100
0|2021-10-18|1484.0|0|1484.0|0|35.0|0|0.0|100
0|2021-10-19|1494.0|0|1494.0|0|36.0|0|0.0|100
0|2021-10-20|1503.0|0|1503.0|0|36.0|0|0.0|100
0|2021-10-21|1507.0|0|1507.0|0|37.0|0|0.0|100
0|2021-10-22|1507.0|0|1507.0|0|37.0|0|0.0|100
0|2021-10-23|1515.0|0|1515.0|0|37.0|0|0.0|100
0|2021-10-24|1515.0|0|1515.0|0|37.0|0|0.0|100
0|2021-10-25|1515.0|0|1515.0|0|37.0|0|0.0|100
0|2021-10-26|1527.0|0|1527.0|0|37.0|0|0.0|100
0|2021-10-27|1528.0|0|1528.0|0|37.0|0|0.0|100
0|2021-10-28|1528.0|0|1528.0|0|37.0|0|0.0|100
0|2021-10-29|1535.0|0|1535.0|0|37.0|0|0.0|100
0|2021-10-30|1538.0|0|1538.0|0|37.0|0|0.0|100
0|2021-10-31|1538.0|0|1538.0|0|37.0|0|0.0|100
0|2021-11-01|1538.0|0|1538.0|0|37.0|0|0.0|100
0|2021-11-02|1543.0|0|1543.0|0|37.0|0|0.0|100
0|2021-11-03|1546.0|0|1546.0|0|37.0|0|0.0|100
0|2021-11-04|1550.0|0|1550.0|0|37.0|0|0.0|100
0|2021-11-05|1554.0|0|1554.0|0|37.0|0|0.0|100
0|2021-11-06|1558.0|0|1558.0|0|37.0|0|0.0|100
