|dates|Hamilton_Texas_UnitedStates.JHU_ConfirmedCases.data|Hamilton_Texas_UnitedStates.JHU_ConfirmedCases.missing|Hamilton_Texas_UnitedStates.NYT_ConfirmedCases.data|Hamilton_Texas_UnitedStates.NYT_ConfirmedCases.missing|Hamilton_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Hamilton_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Hamilton_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Hamilton_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1292.0|0|1292.0|0|29.0|0|0.0|100
0|2021-10-18|1295.0|0|1295.0|0|29.0|0|0.0|100
0|2021-10-19|1295.0|0|1295.0|0|29.0|0|0.0|100
0|2021-10-20|1299.0|0|1299.0|0|29.0|0|0.0|100
0|2021-10-21|1300.0|0|1300.0|0|29.0|0|0.0|100
0|2021-10-22|1302.0|0|1302.0|0|29.0|0|0.0|100
0|2021-10-23|1302.0|0|1302.0|0|29.0|0|0.0|100
0|2021-10-24|1302.0|0|1302.0|0|29.0|0|0.0|100
0|2021-10-25|1303.0|0|1303.0|0|29.0|0|0.0|100
0|2021-10-26|1303.0|0|1303.0|0|29.0|0|0.0|100
0|2021-10-27|1305.0|0|1305.0|0|29.0|0|0.0|100
0|2021-10-28|1305.0|0|1305.0|0|29.0|0|0.0|100
0|2021-10-29|1308.0|0|1308.0|0|29.0|0|0.0|100
0|2021-10-30|1308.0|0|1308.0|0|29.0|0|0.0|100
0|2021-10-31|1308.0|0|1308.0|0|29.0|0|0.0|100
0|2021-11-01|1308.0|0|1308.0|0|29.0|0|0.0|100
0|2021-11-02|1308.0|0|1308.0|0|29.0|0|0.0|100
0|2021-11-03|1310.0|0|1310.0|0|29.0|0|0.0|100
0|2021-11-04|1311.0|0|1311.0|0|29.0|0|0.0|100
0|2021-11-05|1311.0|0|1311.0|0|29.0|0|0.0|100
0|2021-11-06|1310.0|0|1310.0|0|29.0|0|0.0|100
0|2021-11-07|1310.0|0|1310.0|0|29.0|0|0.0|100
0|2021-11-08|1313.0|0|1313.0|0|29.0|0|0.0|100
0|2021-11-09|1313.0|0|1313.0|0|29.0|0|0.0|100
0|2021-11-10|1313.0|0|1313.0|0|29.0|0|0.0|100
0|2021-11-11|1315.0|0|1315.0|0|29.0|0|0.0|100
0|2021-11-12|1315.0|0|1315.0|0|29.0|0|0.0|100
0|2021-11-13|1315.0|0|1315.0|0|29.0|0|0.0|100
0|2021-11-14|1315.0|0|1315.0|0|29.0|0|0.0|100
0|2021-11-15|1315.0|0|1315.0|0|29.0|0|0.0|100
0|2021-11-16|1318.0|0|1318.0|0|29.0|0|0.0|100
0|2021-11-17|1318.0|0|1318.0|0|29.0|0|0.0|100
0|2021-11-18|1318.0|0|1318.0|0|29.0|0|0.0|100
0|2021-11-19|1320.0|0|1320.0|0|29.0|0|0.0|100
0|2021-11-20|1321.0|0|1321.0|0|29.0|0|0.0|100
0|2021-11-21|1321.0|0|1321.0|0|29.0|0|0.0|100
0|2021-11-22|1322.0|0|1322.0|0|29.0|0|0.0|100
0|2021-11-23|1322.0|0|1322.0|0|29.0|0|0.0|100
0|2021-11-24|1324.0|0|1324.0|0|29.0|0|0.0|100
