|dates|McCone_Montana_UnitedStates.JHU_ConfirmedCases.data|McCone_Montana_UnitedStates.JHU_ConfirmedCases.missing|McCone_Montana_UnitedStates.NYT_ConfirmedCases.data|McCone_Montana_UnitedStates.NYT_ConfirmedCases.missing|McCone_Montana_UnitedStates.JHU_ConfirmedDeaths.data|McCone_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|McCone_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|McCone_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|252.0|0|252.0|0|2.0|0|0.0|100
0|2021-10-18|253.0|0|253.0|0|2.0|0|0.0|100
0|2021-10-19|256.0|0|256.0|0|2.0|0|0.0|100
0|2021-10-20|257.0|0|257.0|0|2.0|0|0.0|100
0|2021-10-21|263.0|0|263.0|0|2.0|0|0.0|100
0|2021-10-22|266.0|0|266.0|0|2.0|0|0.0|100
0|2021-10-23|266.0|0|266.0|0|2.0|0|0.0|100
0|2021-10-24|266.0|0|266.0|0|2.0|0|0.0|100
0|2021-10-25|267.0|0|267.0|0|3.0|0|0.0|100
0|2021-10-26|270.0|0|270.0|0|3.0|0|0.0|100
0|2021-10-27|270.0|0|270.0|0|3.0|0|0.0|100
0|2021-10-28|267.0|0|267.0|0|3.0|0|0.0|100
0|2021-10-29|269.0|0|269.0|0|3.0|0|0.0|100
0|2021-10-30|269.0|0|269.0|0|3.0|0|0.0|100
0|2021-10-31|269.0|0|269.0|0|3.0|0|0.0|100
0|2021-11-01|271.0|0|271.0|0|3.0|0|0.0|100
0|2021-11-02|273.0|0|273.0|0|3.0|0|0.0|100
0|2021-11-03|273.0|0|273.0|0|3.0|0|0.0|100
0|2021-11-04|273.0|0|273.0|0|3.0|0|0.0|100
0|2021-11-05|276.0|0|276.0|0|3.0|0|0.0|100
0|2021-11-06|276.0|0|276.0|0|3.0|0|0.0|100
0|2021-11-07|276.0|0|276.0|0|3.0|0|0.0|100
0|2021-11-08|277.0|0|277.0|0|3.0|0|0.0|100
0|2021-11-09|279.0|0|279.0|0|3.0|0|0.0|100
0|2021-11-10|283.0|0|283.0|0|3.0|0|0.0|100
0|2021-11-11|283.0|0|283.0|0|3.0|0|0.0|100
0|2021-11-12|287.0|0|287.0|0|3.0|0|0.0|100
0|2021-11-13|287.0|0|287.0|0|3.0|0|0.0|100
0|2021-11-14|287.0|0|287.0|0|3.0|0|0.0|100
0|2021-11-15|290.0|0|290.0|0|3.0|0|0.0|100
0|2021-11-16|292.0|0|292.0|0|3.0|0|0.0|100
0|2021-11-17|292.0|0|292.0|0|3.0|0|0.0|100
0|2021-11-18|294.0|0|294.0|0|3.0|0|0.0|100
0|2021-11-19|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-20|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-21|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-22|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-23|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-24|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-25|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-26|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-27|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-28|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-29|302.0|0|302.0|0|3.0|0|0.0|100
0|2021-11-30|305.0|0|305.0|0|4.0|0|0.0|100
0|2021-12-01|305.0|0|305.0|0|4.0|0|0.0|100
0|2021-12-02|304.0|0|304.0|0|4.0|0|0.0|100
0|2021-12-03|306.0|0|306.0|0|4.0|0|0.0|100
0|2021-12-04|306.0|0|306.0|0|4.0|0|0.0|100
0|2021-12-05|306.0|0|306.0|0|4.0|0|0.0|100
0|2021-12-06|307.0|0|307.0|0|4.0|0|0.0|100
0|2021-12-07|307.0|0|307.0|0|4.0|0|0.0|100
0|2021-12-08|310.0|0|310.0|0|4.0|0|0.0|100
0|2021-12-09|310.0|0|310.0|0|4.0|0|0.0|100
0|2021-12-10|311.0|0|311.0|0|8.0|0|0.0|100
0|2021-12-11|311.0|0|311.0|0|8.0|0|0.0|100
0|2021-12-12|311.0|0|311.0|0|8.0|0|0.0|100
0|2021-12-13|312.0|0|312.0|0|8.0|0|0.0|100
0|2021-12-14|312.0|0|313.0|0|8.0|0|0.0|100
0|2021-12-15|316.0|0|316.0|0|8.0|0|0.0|100
0|2021-12-16|316.0|0|316.0|0|8.0|0|0.0|100
0|2021-12-17|316.0|0|316.0|0|8.0|0|0.0|100
0|2021-12-18|316.0|0|316.0|0|8.0|0|0.0|100
0|2021-12-19|316.0|0|316.0|0|8.0|0|0.0|100
0|2021-12-20|316.0|0|316.0|0|8.0|0|0.0|100
