|dates|Sarasota_Florida_UnitedStates.JHU_ConfirmedCases.data|Sarasota_Florida_UnitedStates.JHU_ConfirmedCases.missing|Sarasota_Florida_UnitedStates.NYT_ConfirmedCases.data|Sarasota_Florida_UnitedStates.NYT_ConfirmedCases.missing|Sarasota_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Sarasota_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Sarasota_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Sarasota_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|56497.0|0|54899.0|0|844.0|0|0.0|100
0|2021-10-18|56497.0|0|54899.0|0|844.0|0|0.0|100
0|2021-10-19|56497.0|0|54899.0|0|844.0|0|0.0|100
0|2021-10-20|56497.0|0|54899.0|0|844.0|0|0.0|100
0|2021-10-21|56497.0|0|54899.0|0|844.0|0|0.0|100
0|2021-10-22|56670.0|0|55072.0|0|844.0|0|0.0|100
0|2021-10-23|56670.0|0|55072.0|0|844.0|0|0.0|100
0|2021-10-24|56670.0|0|55072.0|0|844.0|0|0.0|100
0|2021-10-25|56670.0|0|55072.0|0|844.0|0|0.0|100
0|2021-10-26|56670.0|0|55072.0|0|844.0|0|0.0|100
0|2021-10-27|56670.0|0|55072.0|0|844.0|0|0.0|100
0|2021-10-28|56670.0|0|55072.0|0|844.0|0|0.0|100
0|2021-10-29|56831.0|0|55233.0|0|844.0|0|0.0|100
0|2021-10-30|56831.0|0|55233.0|0|844.0|0|0.0|100
0|2021-10-31|56831.0|0|55233.0|0|844.0|0|0.0|100
0|2021-11-01|56831.0|0|55233.0|0|844.0|0|0.0|100
0|2021-11-02|56831.0|0|55233.0|0|844.0|0|0.0|100
0|2021-11-03|56831.0|0|55233.0|0|844.0|0|0.0|100
0|2021-11-04|56831.0|0|55233.0|0|844.0|0|0.0|100
0|2021-11-05|56984.0|0|55386.0|0|844.0|0|0.0|100
0|2021-11-06|56984.0|0|55386.0|0|844.0|0|0.0|100
0|2021-11-07|56984.0|0|55386.0|0|844.0|0|0.0|100
0|2021-11-08|56984.0|0|55386.0|0|844.0|0|0.0|100
0|2021-11-09|56984.0|0|55386.0|0|844.0|0|0.0|100
0|2021-11-10|56984.0|0|55386.0|0|844.0|0|0.0|100
