|dates|Schleicher_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Schleicher_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Schleicher_Texas_UnitedStates.Male_Total_Population.data|Schleicher_Texas_UnitedStates.Male_Total_Population.missing|Schleicher_Texas_UnitedStates.Female_Total_Population.data|Schleicher_Texas_UnitedStates.Female_Total_Population.missing|Schleicher_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Schleicher_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-18|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-19|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-20|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-21|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-22|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-23|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-24|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-25|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-26|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-27|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-28|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-29|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-30|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-10-31|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-01|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-02|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-03|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-04|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-05|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-06|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-07|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-08|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-09|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-10|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-11|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-12|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-13|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-14|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-15|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-16|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-17|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-18|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-19|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-20|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-21|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-22|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-23|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-24|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-25|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-26|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-27|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-28|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-29|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-11-30|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-12-01|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-12-02|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-12-03|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-12-04|567.0|0|1436.0|0|1459.0|0|744.0|0
0|2021-12-05|567.0|0|1436.0|0|1459.0|0|744.0|0
