|dates|Shelby_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Shelby_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Shelby_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Shelby_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Shelby_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Shelby_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|143018.0|0|144705.0|0|2194.0|0|0.0|100
0|2021-10-18|143276.0|0|144792.0|0|2203.0|0|0.0|100
0|2021-10-19|143376.0|0|144874.0|0|2211.0|0|0.0|100
0|2021-10-20|143490.0|0|144968.0|0|2220.0|0|0.0|100
0|2021-10-21|143620.0|0|145070.0|0|2229.0|0|0.0|100
0|2021-10-22|143725.0|0|145200.0|0|2236.0|0|0.0|100
0|2021-10-23|143725.0|0|145304.0|0|2236.0|0|0.0|100
0|2021-10-24|143725.0|0|145401.0|0|2236.0|0|0.0|100
0|2021-10-25|143725.0|0|145455.0|0|2236.0|0|0.0|100
0|2021-10-26|144036.0|0|145523.0|0|2238.0|0|0.0|100
0|2021-10-27|144145.0|0|145601.0|0|2246.0|0|0.0|100
0|2021-10-28|144279.0|0|145710.0|0|2255.0|0|0.0|100
0|2021-10-29|144354.0|0|145832.0|0|2256.0|0|0.0|100
0|2021-10-30|144354.0|0|145918.0|0|2256.0|0|0.0|100
0|2021-10-31|144354.0|0|146005.0|0|2256.0|0|0.0|100
0|2021-11-01|144354.0|0|146061.0|0|2256.0|0|0.0|100
0|2021-11-02|144651.0|0|146101.0|0|2267.0|0|0.0|100
0|2021-11-03|144728.0|0|146212.0|0|2268.0|0|0.0|100
0|2021-11-04|144854.0|0|146296.0|0|2272.0|0|0.0|100
0|2021-11-05|144929.0|0|146403.0|0|2275.0|0|0.0|100
0|2021-11-06|144929.0|0|146472.0|0|2275.0|0|0.0|100
0|2021-11-07|144929.0|0|146579.0|0|2275.0|0|0.0|100
0|2021-11-08|144929.0|0|146636.0|0|2275.0|0|0.0|100
0|2021-11-09|145271.0|0|146718.0|0|2288.0|0|0.0|100
0|2021-11-10|145494.0|0|146814.0|0|2291.0|0|0.0|100
0|2021-11-11|145494.0|0|147025.0|0|2291.0|0|0.0|100
0|2021-11-12|145771.0|0|147284.0|0|2298.0|0|0.0|100
0|2021-11-13|145771.0|0|147284.0|0|2298.0|0|0.0|100
0|2021-11-14|145771.0|0|147417.0|0|2298.0|0|0.0|100
0|2021-11-15|146063.0|0|147486.0|0|2298.0|0|0.0|100
0|2021-11-16|146165.0|0|147557.0|0|2305.0|0|0.0|100
0|2021-11-17|146298.0|0|147659.0|0|2307.0|0|0.0|100
0|2021-11-18|146482.0|0|147796.0|0|2307.0|0|0.0|100
0|2021-11-19|146682.0|0|148028.0|0|2307.0|0|0.0|100
0|2021-11-20|146682.0|0|148192.0|0|2307.0|0|0.0|100
