|dates|Dallas_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Dallas_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Dallas_Texas_UnitedStates.Male_Total_Population.data|Dallas_Texas_UnitedStates.Male_Total_Population.missing|Dallas_Texas_UnitedStates.Female_Total_Population.data|Dallas_Texas_UnitedStates.Female_Total_Population.missing|Dallas_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Dallas_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-18|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-19|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-20|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-21|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-22|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-23|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-24|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-25|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-26|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-27|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-28|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-29|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-30|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-10-31|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-01|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-02|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-03|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-04|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-05|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-06|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-07|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-08|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-09|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-10|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-11|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-12|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-13|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-14|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-15|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-16|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-17|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-18|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-19|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-20|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-21|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-22|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-23|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-24|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-25|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-26|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-27|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-28|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-29|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-11-30|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-01|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-02|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-03|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-04|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-05|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-06|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-07|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-08|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-09|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-10|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-11|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-12|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-13|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-14|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-15|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-16|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-17|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-18|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-19|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-20|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-21|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-22|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-23|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-24|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-25|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-26|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-27|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-28|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-29|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-30|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2021-12-31|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-01|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-02|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-03|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-04|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-05|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-06|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-07|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-08|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-09|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-10|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-11|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-12|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-13|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-14|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-15|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-16|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
0|2022-01-17|283154.0|0|1301788.0|0|1335984.0|0|689692.0|0
