|dates|Reagan_Texas_UnitedStates.JHU_ConfirmedCases.data|Reagan_Texas_UnitedStates.JHU_ConfirmedCases.missing|Reagan_Texas_UnitedStates.NYT_ConfirmedCases.data|Reagan_Texas_UnitedStates.NYT_ConfirmedCases.missing|Reagan_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Reagan_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Reagan_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Reagan_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|589.0|0|589.0|0|10.0|0|0.0|100
0|2021-10-18|592.0|0|592.0|0|10.0|0|0.0|100
0|2021-10-19|594.0|0|594.0|0|10.0|0|0.0|100
0|2021-10-20|595.0|0|595.0|0|10.0|0|0.0|100
0|2021-10-21|595.0|0|595.0|0|10.0|0|0.0|100
0|2021-10-22|595.0|0|595.0|0|10.0|0|0.0|100
0|2021-10-23|596.0|0|596.0|0|10.0|0|0.0|100
0|2021-10-24|597.0|0|597.0|0|10.0|0|0.0|100
0|2021-10-25|597.0|0|597.0|0|10.0|0|0.0|100
0|2021-10-26|597.0|0|597.0|0|10.0|0|0.0|100
0|2021-10-27|598.0|0|598.0|0|10.0|0|0.0|100
0|2021-10-28|598.0|0|598.0|0|10.0|0|0.0|100
0|2021-10-29|598.0|0|598.0|0|10.0|0|0.0|100
0|2021-10-30|600.0|0|600.0|0|10.0|0|0.0|100
0|2021-10-31|600.0|0|600.0|0|10.0|0|0.0|100
0|2021-11-01|600.0|0|600.0|0|10.0|0|0.0|100
0|2021-11-02|600.0|0|600.0|0|10.0|0|0.0|100
0|2021-11-03|600.0|0|600.0|0|10.0|0|0.0|100
0|2021-11-04|600.0|0|600.0|0|10.0|0|0.0|100
0|2021-11-05|600.0|0|600.0|0|10.0|0|0.0|100
0|2021-11-06|600.0|0|600.0|0|10.0|0|0.0|100
0|2021-11-07|601.0|0|601.0|0|10.0|0|0.0|100
0|2021-11-08|603.0|0|603.0|0|10.0|0|0.0|100
0|2021-11-09|604.0|0|604.0|0|10.0|0|0.0|100
0|2021-11-10|604.0|0|604.0|0|10.0|0|0.0|100
0|2021-11-11|603.0|0|603.0|0|10.0|0|0.0|100
0|2021-11-12|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-13|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-14|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-15|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-16|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-17|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-18|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-19|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-20|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-21|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-22|605.0|0|605.0|0|10.0|0|0.0|100
0|2021-11-23|606.0|0|606.0|0|10.0|0|0.0|100
0|2021-11-24|606.0|0|606.0|0|10.0|0|0.0|100
0|2021-11-25|606.0|0|606.0|0|10.0|0|0.0|100
0|2021-11-26|606.0|0|606.0|0|10.0|0|0.0|100
0|2021-11-27|606.0|0|606.0|0|10.0|0|0.0|100
0|2021-11-28|606.0|0|606.0|0|10.0|0|0.0|100
0|2021-11-29|608.0|0|608.0|0|10.0|0|0.0|100
0|2021-11-30|614.0|0|614.0|0|10.0|0|0.0|100
0|2021-12-01|615.0|0|615.0|0|10.0|0|0.0|100
0|2021-12-02|617.0|0|617.0|0|10.0|0|0.0|100
0|2021-12-03|620.0|0|620.0|0|10.0|0|0.0|100
0|2021-12-04|620.0|0|620.0|0|10.0|0|0.0|100
0|2021-12-05|620.0|0|620.0|0|10.0|0|0.0|100
0|2021-12-06|621.0|0|621.0|0|10.0|0|0.0|100
0|2021-12-07|621.0|0|621.0|0|10.0|0|0.0|100
0|2021-12-08|623.0|0|623.0|0|10.0|0|0.0|100
0|2021-12-09|626.0|0|626.0|0|10.0|0|0.0|100
0|2021-12-10|631.0|0|631.0|0|10.0|0|0.0|100
0|2021-12-11|631.0|0|631.0|0|10.0|0|0.0|100
0|2021-12-12|631.0|0|631.0|0|10.0|0|0.0|100
0|2021-12-13|631.0|0|631.0|0|10.0|0|0.0|100
0|2021-12-14|631.0|0|631.0|0|10.0|0|0.0|100
0|2021-12-15|633.0|0|633.0|0|10.0|0|0.0|100
0|2021-12-16|634.0|0|634.0|0|10.0|0|0.0|100
0|2021-12-17|634.0|0|634.0|0|10.0|0|0.0|100
0|2021-12-18|634.0|0|634.0|0|10.0|0|0.0|100
0|2021-12-19|634.0|0|634.0|0|10.0|0|0.0|100
0|2021-12-20|634.0|0|634.0|0|10.0|0|0.0|100
0|2021-12-21|636.0|0|636.0|0|10.0|0|0.0|100
0|2021-12-22|636.0|0|636.0|0|10.0|0|0.0|100
0|2021-12-23|637.0|0|637.0|0|10.0|0|0.0|100
0|2021-12-24|637.0|0|637.0|0|10.0|0|0.0|100
0|2021-12-25|637.0|0|637.0|0|10.0|0|0.0|100
0|2021-12-26|637.0|0|637.0|0|10.0|0|0.0|100
0|2021-12-27|639.0|0|639.0|0|10.0|0|0.0|100
0|2021-12-28|642.0|0|642.0|0|10.0|0|0.0|100
0|2021-12-29|647.0|0|647.0|0|10.0|0|0.0|100
0|2021-12-30|648.0|0|648.0|0|10.0|0|0.0|100
0|2021-12-31|648.0|0|648.0|0|10.0|0|0.0|100
0|2022-01-01|648.0|0|648.0|0|10.0|0|0.0|100
0|2022-01-02|648.0|0|648.0|0|10.0|0|0.0|100
0|2022-01-03|654.0|0|654.0|0|10.0|0|0.0|100
