|dates|RioBlanco_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.data|RioBlanco_Colorado_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|RioBlanco_Colorado_UnitedStates.Male_Total_Population.data|RioBlanco_Colorado_UnitedStates.Male_Total_Population.missing|RioBlanco_Colorado_UnitedStates.Female_Total_Population.data|RioBlanco_Colorado_UnitedStates.Female_Total_Population.missing|RioBlanco_Colorado_UnitedStates.MaleAndFemale_Under18_Population.data|RioBlanco_Colorado_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-18|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-19|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-20|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-21|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-22|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-23|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-24|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-25|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-26|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-27|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-28|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-29|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-30|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-10-31|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-01|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-02|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-03|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-04|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-05|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-06|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-07|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-08|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-09|985.0|0|3237.0|0|3099.0|0|1506.0|0
0|2021-11-10|985.0|0|3237.0|0|3099.0|0|1506.0|0
