|dates|Lane_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Lane_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Lane_Kansas_UnitedStates.Male_Total_Population.data|Lane_Kansas_UnitedStates.Male_Total_Population.missing|Lane_Kansas_UnitedStates.Female_Total_Population.data|Lane_Kansas_UnitedStates.Female_Total_Population.missing|Lane_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Lane_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-18|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-19|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-20|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-21|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-22|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-23|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-24|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-25|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-26|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-27|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-28|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-29|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-30|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-10-31|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-01|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-02|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-03|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-04|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-05|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-06|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-07|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-08|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-09|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-10|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-11|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-12|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-13|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-14|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-15|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-16|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-17|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-18|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-19|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-20|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-21|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-22|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-23|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-24|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-25|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-26|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-27|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-28|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-29|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-11-30|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-01|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-02|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-03|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-04|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-05|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-06|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-07|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-08|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-09|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-10|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-11|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-12|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-13|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-14|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-15|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-16|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-17|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-18|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-19|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-20|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-21|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-22|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-23|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-24|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-25|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-26|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-27|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-28|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-29|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-30|367.0|0|788.0|0|772.0|0|345.0|0
0|2021-12-31|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-01|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-02|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-03|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-04|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-05|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-06|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-07|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-08|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-09|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-10|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-11|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-12|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-13|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-14|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-15|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-16|367.0|0|788.0|0|772.0|0|345.0|0
0|2022-01-17|367.0|0|788.0|0|772.0|0|345.0|0
