|dates|Hansford_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hansford_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hansford_Texas_UnitedStates.Male_Total_Population.data|Hansford_Texas_UnitedStates.Male_Total_Population.missing|Hansford_Texas_UnitedStates.Female_Total_Population.data|Hansford_Texas_UnitedStates.Female_Total_Population.missing|Hansford_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Hansford_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-18|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-19|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-20|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-21|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-22|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-23|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-24|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-25|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-26|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-27|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-28|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-29|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-30|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-10-31|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-01|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-02|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-03|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-04|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-05|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-06|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-07|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-08|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-09|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-10|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-11|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-12|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-13|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-14|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-15|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-16|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-17|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-18|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-19|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-20|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-21|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-22|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-23|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-24|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-25|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-26|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-27|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-28|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-29|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-11-30|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-01|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-02|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-03|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-04|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-05|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-06|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-07|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-08|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-09|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-10|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-11|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-12|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-13|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-14|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-15|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-16|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-17|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-18|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-19|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-20|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-21|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-22|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-23|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-24|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-25|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-26|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-27|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-28|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-29|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-30|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2021-12-31|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-01|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-02|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-03|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-04|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-05|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-06|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-07|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-08|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-09|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-10|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-11|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-12|807.0|0|2785.0|0|2678.0|0|1594.0|0
0|2022-01-13|807.0|0|2785.0|0|2678.0|0|1594.0|0
