|dates|Hamilton_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hamilton_Kansas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hamilton_Kansas_UnitedStates.Male_Total_Population.data|Hamilton_Kansas_UnitedStates.Male_Total_Population.missing|Hamilton_Kansas_UnitedStates.Female_Total_Population.data|Hamilton_Kansas_UnitedStates.Female_Total_Population.missing|Hamilton_Kansas_UnitedStates.MaleAndFemale_Under18_Population.data|Hamilton_Kansas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-18|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-19|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-20|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-21|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-22|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-23|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-24|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-25|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-26|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-27|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-28|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-29|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-30|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-10-31|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-01|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-02|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-03|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-04|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-05|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-06|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-07|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-08|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-09|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-10|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-11|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-12|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-13|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-14|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-15|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-16|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-17|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-18|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-19|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-20|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-21|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-22|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-23|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-24|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-25|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-26|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-27|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-28|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-29|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-11-30|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-01|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-02|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-03|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-04|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-05|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-06|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-07|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-08|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-09|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-10|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-11|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-12|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-13|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-14|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-15|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-16|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-17|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-18|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-19|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-20|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-21|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-22|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-23|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-24|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-25|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-26|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-27|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-28|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-29|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-30|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2021-12-31|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-01|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-02|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-03|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-04|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-05|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-06|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-07|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-08|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-09|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-10|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-11|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-12|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-13|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-14|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-15|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-16|365.0|0|1351.0|0|1256.0|0|749.0|0
0|2022-01-17|365.0|0|1351.0|0|1256.0|0|749.0|0
