|dates|Piscataquis_Maine_UnitedStates.JHU_ConfirmedCases.data|Piscataquis_Maine_UnitedStates.JHU_ConfirmedCases.missing|Piscataquis_Maine_UnitedStates.NYT_ConfirmedCases.data|Piscataquis_Maine_UnitedStates.NYT_ConfirmedCases.missing|Piscataquis_Maine_UnitedStates.JHU_ConfirmedDeaths.data|Piscataquis_Maine_UnitedStates.JHU_ConfirmedDeaths.missing|Piscataquis_Maine_UnitedStates.JHU_ConfirmedRecoveries.data|Piscataquis_Maine_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1260.0|0|1260.0|0|11.0|0|0.0|100
0|2021-10-18|1260.0|0|1260.0|0|11.0|0|0.0|100
0|2021-10-19|1270.0|0|1270.0|0|11.0|0|0.0|100
0|2021-10-20|1280.0|0|1280.0|0|11.0|0|0.0|100
0|2021-10-21|1290.0|0|1290.0|0|11.0|0|0.0|100
0|2021-10-22|1296.0|0|1296.0|0|11.0|0|0.0|100
0|2021-10-23|1301.0|0|1301.0|0|11.0|0|0.0|100
0|2021-10-24|1301.0|0|1301.0|0|11.0|0|0.0|100
0|2021-10-25|1301.0|0|1301.0|0|11.0|0|0.0|100
0|2021-10-26|1311.0|0|1311.0|0|11.0|0|0.0|100
0|2021-10-27|1321.0|0|1321.0|0|11.0|0|0.0|100
0|2021-10-28|1324.0|0|1324.0|0|12.0|0|0.0|100
0|2021-10-29|1331.0|0|1331.0|0|12.0|0|0.0|100
0|2021-10-30|1334.0|0|1334.0|0|12.0|0|0.0|100
0|2021-10-31|1334.0|0|1334.0|0|12.0|0|0.0|100
0|2021-11-01|1334.0|0|1334.0|0|12.0|0|0.0|100
0|2021-11-02|1346.0|0|1346.0|0|12.0|0|0.0|100
0|2021-11-03|1353.0|0|1353.0|0|12.0|0|0.0|100
0|2021-11-04|1358.0|0|1358.0|0|12.0|0|0.0|100
0|2021-11-05|1359.0|0|1359.0|0|12.0|0|0.0|100
0|2021-11-06|1365.0|0|1365.0|0|12.0|0|0.0|100
0|2021-11-07|1365.0|0|1365.0|0|12.0|0|0.0|100
0|2021-11-08|1365.0|0|1365.0|0|12.0|0|0.0|100
0|2021-11-09|1378.0|0|1378.0|0|12.0|0|0.0|100
0|2021-11-10|1378.0|0|1381.0|0|12.0|0|0.0|100
0|2021-11-11|1391.0|0|1391.0|0|12.0|0|0.0|100
0|2021-11-12|1391.0|0|1391.0|0|12.0|0|0.0|100
0|2021-11-13|1396.0|0|1396.0|0|12.0|0|0.0|100
0|2021-11-14|1396.0|0|1396.0|0|12.0|0|0.0|100
0|2021-11-15|1396.0|0|1396.0|0|12.0|0|0.0|100
0|2021-11-16|1417.0|0|1417.0|0|12.0|0|0.0|100
0|2021-11-17|1419.0|0|1419.0|0|12.0|0|0.0|100
0|2021-11-18|1463.0|0|1463.0|0|13.0|0|0.0|100
0|2021-11-19|1488.0|0|1488.0|0|13.0|0|0.0|100
0|2021-11-20|1496.0|0|1496.0|0|13.0|0|0.0|100
0|2021-11-21|1496.0|0|1496.0|0|13.0|0|0.0|100
0|2021-11-22|1496.0|0|1496.0|0|13.0|0|0.0|100
0|2021-11-23|1510.0|0|1510.0|0|13.0|0|0.0|100
0|2021-11-24|1558.0|0|1558.0|0|13.0|0|0.0|100
0|2021-11-25|1562.0|0|1562.0|0|13.0|0|0.0|100
0|2021-11-26|1562.0|0|1562.0|0|13.0|0|0.0|100
0|2021-11-27|1562.0|0|1562.0|0|13.0|0|0.0|100
0|2021-11-28|1562.0|0|1562.0|0|13.0|0|0.0|100
0|2021-11-29|1562.0|0|1562.0|0|13.0|0|0.0|100
0|2021-11-30|1576.0|0|1576.0|0|13.0|0|0.0|100
0|2021-12-01|1592.0|0|1592.0|0|13.0|0|0.0|100
0|2021-12-02|1592.0|0|1605.0|0|13.0|0|0.0|100
0|2021-12-03|1618.0|0|1618.0|0|13.0|0|0.0|100
0|2021-12-04|1643.0|0|1643.0|0|14.0|0|0.0|100
0|2021-12-05|1643.0|0|1643.0|0|14.0|0|0.0|100
0|2021-12-06|1643.0|0|1643.0|0|14.0|0|0.0|100
0|2021-12-07|1649.0|0|1649.0|0|14.0|0|0.0|100
0|2021-12-08|1669.0|0|1669.0|0|14.0|0|0.0|100
0|2021-12-09|1702.0|0|1702.0|0|14.0|0|0.0|100
0|2021-12-10|1752.0|0|1752.0|0|14.0|0|0.0|100
0|2021-12-11|1773.0|0|1773.0|0|14.0|0|0.0|100
0|2021-12-12|1773.0|0|1773.0|0|14.0|0|0.0|100
0|2021-12-13|1773.0|0|1773.0|0|14.0|0|0.0|100
0|2021-12-14|1773.0|0|1822.0|0|14.0|0|0.0|100
0|2021-12-15|1836.0|0|1836.0|0|15.0|0|0.0|100
0|2021-12-16|1844.0|0|1844.0|0|15.0|0|0.0|100
0|2021-12-17|1847.0|0|1847.0|0|15.0|0|0.0|100
0|2021-12-18|1888.0|0|1888.0|0|15.0|0|0.0|100
0|2021-12-19|1888.0|0|1888.0|0|15.0|0|0.0|100
0|2021-12-20|1888.0|0|1888.0|0|15.0|0|0.0|100
0|2021-12-21|1899.0|0|1899.0|0|16.0|0|0.0|100
0|2021-12-22|1919.0|0|1919.0|0|16.0|0|0.0|100
0|2021-12-23|1921.0|0|1921.0|0|16.0|0|0.0|100
0|2021-12-24|1923.0|0|1923.0|0|17.0|0|0.0|100
0|2021-12-25|1923.0|0|1923.0|0|17.0|0|0.0|100
0|2021-12-26|1923.0|0|1923.0|0|17.0|0|0.0|100
0|2021-12-27|1923.0|0|1923.0|0|17.0|0|0.0|100
0|2021-12-28|1974.0|0|1974.0|0|19.0|0|0.0|100
