|dates|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Berks_Pennsylvania_UnitedStates.NYT_ConfirmedCases.data|Berks_Pennsylvania_UnitedStates.NYT_ConfirmedCases.missing|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Berks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|57027.0|0|57027.0|0|1122.0|0|0.0|100
0|2021-10-18|57123.0|0|57123.0|0|1124.0|0|0.0|100
0|2021-10-19|57240.0|0|57240.0|0|1125.0|0|0.0|100
0|2021-10-20|57391.0|0|57391.0|0|1133.0|0|0.0|100
0|2021-10-21|57541.0|0|57541.0|0|1135.0|0|0.0|100
0|2021-10-22|57717.0|0|57717.0|0|1136.0|0|0.0|100
0|2021-10-23|57860.0|0|57860.0|0|1136.0|0|0.0|100
0|2021-10-24|57978.0|0|57978.0|0|1136.0|0|0.0|100
0|2021-10-25|58070.0|0|58070.0|0|1136.0|0|0.0|100
0|2021-10-26|58181.0|0|58181.0|0|1141.0|0|0.0|100
0|2021-10-27|58309.0|0|58309.0|0|1147.0|0|0.0|100
0|2021-10-28|58478.0|0|58478.0|0|1148.0|0|0.0|100
0|2021-10-29|58630.0|0|58630.0|0|1150.0|0|0.0|100
0|2021-10-30|58742.0|0|58742.0|0|1152.0|0|0.0|100
0|2021-10-31|58840.0|0|58840.0|0|1154.0|0|0.0|100
0|2021-11-01|58840.0|0|58840.0|0|1154.0|0|0.0|100
0|2021-11-02|59078.0|0|59078.0|0|1156.0|0|0.0|100
0|2021-11-03|59197.0|0|59197.0|0|1158.0|0|0.0|100
0|2021-11-04|59367.0|0|59367.0|0|1161.0|0|0.0|100
0|2021-11-05|59526.0|0|59526.0|0|1164.0|0|0.0|100
0|2021-11-06|59673.0|0|59673.0|0|1164.0|0|0.0|100
0|2021-11-07|59788.0|0|59788.0|0|1164.0|0|0.0|100
0|2021-11-08|59899.0|0|59899.0|0|1164.0|0|0.0|100
0|2021-11-09|60097.0|0|60097.0|0|1164.0|0|0.0|100
0|2021-11-10|60236.0|0|60236.0|0|1172.0|0|0.0|100
0|2021-11-11|60401.0|0|60401.0|0|1177.0|0|0.0|100
0|2021-11-12|60530.0|0|60530.0|0|1177.0|0|0.0|100
0|2021-11-13|61433.0|0|61433.0|0|1179.0|0|0.0|100
0|2021-11-14|61592.0|0|61592.0|0|1180.0|0|0.0|100
0|2021-11-15|61705.0|0|61705.0|0|1181.0|0|0.0|100
0|2021-11-16|61878.0|0|61878.0|0|1182.0|0|0.0|100
0|2021-11-17|62041.0|0|62041.0|0|1183.0|0|0.0|100
0|2021-11-18|62287.0|0|62287.0|0|1183.0|0|0.0|100
0|2021-11-19|62496.0|0|62496.0|0|1186.0|0|0.0|100
0|2021-11-20|62652.0|0|62652.0|0|1189.0|0|0.0|100
0|2021-11-21|62848.0|0|62848.0|0|1189.0|0|0.0|100
