|dates|Trumbull_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Trumbull_Ohio_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Trumbull_Ohio_UnitedStates.Male_Total_Population.data|Trumbull_Ohio_UnitedStates.Male_Total_Population.missing|Trumbull_Ohio_UnitedStates.Female_Total_Population.data|Trumbull_Ohio_UnitedStates.Female_Total_Population.missing|Trumbull_Ohio_UnitedStates.MaleAndFemale_Under18_Population.data|Trumbull_Ohio_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-18|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-19|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-20|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-21|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-22|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-23|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-24|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-25|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-26|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-27|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-28|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-29|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-30|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-10-31|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-01|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-02|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-03|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-04|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-05|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-06|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-07|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-08|42931.0|0|96722.0|0|101905.0|0|40788.0|0
0|2021-11-09|42931.0|0|96722.0|0|101905.0|0|40788.0|0
