|dates|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedCases.data|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedCases.missing|Middlesex_Massachusetts_UnitedStates.NYT_ConfirmedCases.data|Middlesex_Massachusetts_UnitedStates.NYT_ConfirmedCases.missing|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.data|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedDeaths.missing|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.data|Middlesex_Massachusetts_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|156101.0|0|156101.0|0|3900.0|0|0.0|100
0|2021-10-18|156655.0|0|156655.0|0|3901.0|0|0.0|100
0|2021-10-19|157009.0|0|157009.0|0|3905.0|0|0.0|100
0|2021-10-20|157311.0|0|157311.0|0|3907.0|0|0.0|100
0|2021-10-21|157580.0|0|157580.0|0|3911.0|0|0.0|100
0|2021-10-22|157854.0|0|157854.0|0|3913.0|0|0.0|100
0|2021-10-23|157854.0|0|157854.0|0|3913.0|0|0.0|100
0|2021-10-24|157854.0|0|157854.0|0|3913.0|0|0.0|100
0|2021-10-25|158495.0|0|158495.0|0|3915.0|0|0.0|100
0|2021-10-26|158740.0|0|158740.0|0|3917.0|0|0.0|100
0|2021-10-27|159020.0|0|159020.0|0|3920.0|0|0.0|100
0|2021-10-28|159020.0|0|159335.0|0|3923.0|0|0.0|100
0|2021-10-29|159612.0|0|159612.0|0|3925.0|0|0.0|100
0|2021-10-30|159612.0|0|159612.0|0|3925.0|0|0.0|100
0|2021-10-31|159612.0|0|159612.0|0|3925.0|0|0.0|100
0|2021-11-01|160294.0|0|160294.0|0|3926.0|0|0.0|100
0|2021-11-02|160515.0|0|160515.0|0|3928.0|0|0.0|100
0|2021-11-03|160772.0|0|160772.0|0|3929.0|0|0.0|100
0|2021-11-04|161124.0|0|161124.0|0|3932.0|0|0.0|100
0|2021-11-05|161457.0|0|161457.0|0|3935.0|0|0.0|100
0|2021-11-06|161457.0|0|161457.0|0|3935.0|0|0.0|100
0|2021-11-07|161457.0|0|161457.0|0|3935.0|0|0.0|100
0|2021-11-08|162297.0|0|162297.0|0|3935.0|0|0.0|100
0|2021-11-09|162565.0|0|162565.0|0|3940.0|0|0.0|100
0|2021-11-10|162934.0|0|162934.0|0|3943.0|0|0.0|100
0|2021-11-11|162934.0|0|162934.0|0|3943.0|0|0.0|100
0|2021-11-12|163654.0|0|163654.0|0|3944.0|0|0.0|100
0|2021-11-13|163654.0|0|163654.0|0|3944.0|0|0.0|100
0|2021-11-14|163654.0|0|163654.0|0|3944.0|0|0.0|100
0|2021-11-15|164749.0|0|164749.0|0|3947.0|0|0.0|100
0|2021-11-16|165102.0|0|165102.0|0|3950.0|0|0.0|100
0|2021-11-17|165657.0|0|165657.0|0|3953.0|0|0.0|100
0|2021-11-18|166268.0|0|166268.0|0|3953.0|0|0.0|100
0|2021-11-19|166818.0|0|166818.0|0|3959.0|0|0.0|100
0|2021-11-20|166818.0|0|166818.0|0|3959.0|0|0.0|100
0|2021-11-21|166818.0|0|166818.0|0|3959.0|0|0.0|100
0|2021-11-22|168126.0|0|168126.0|0|3961.0|0|0.0|100
0|2021-11-23|168570.0|0|168570.0|0|3967.0|0|0.0|100
0|2021-11-24|169160.0|0|169160.0|0|3969.0|0|0.0|100
0|2021-11-25|169160.0|0|169160.0|0|3969.0|0|0.0|100
0|2021-11-26|170099.0|0|170099.0|0|3973.0|0|0.0|100
0|2021-11-27|170099.0|0|170099.0|0|3973.0|0|0.0|100
0|2021-11-28|170099.0|0|170099.0|0|3973.0|0|0.0|100
0|2021-11-29|171126.0|0|171126.0|0|3974.0|0|0.0|100
0|2021-11-30|171732.0|0|171732.0|0|3980.0|0|0.0|100
0|2021-12-01|172710.0|0|172710.0|0|3983.0|0|0.0|100
0|2021-12-02|173693.0|0|173693.0|0|3993.0|0|0.0|100
0|2021-12-03|174735.0|0|174735.0|0|3998.0|0|0.0|100
0|2021-12-04|174735.0|0|174735.0|0|3998.0|0|0.0|100
0|2021-12-05|174735.0|0|174735.0|0|3998.0|0|0.0|100
0|2021-12-06|176891.0|0|176891.0|0|4001.0|0|0.0|100
0|2021-12-07|177499.0|0|177499.0|0|4011.0|0|0.0|100
0|2021-12-08|178510.0|0|178510.0|0|4013.0|0|0.0|100
0|2021-12-09|179618.0|0|179618.0|0|4016.0|0|0.0|100
0|2021-12-10|180554.0|0|180554.0|0|4022.0|0|0.0|100
0|2021-12-11|180554.0|0|180554.0|0|4022.0|0|0.0|100
0|2021-12-12|180554.0|0|180554.0|0|4022.0|0|0.0|100
0|2021-12-13|182713.0|0|182713.0|0|4029.0|0|0.0|100
0|2021-12-14|182713.0|0|183387.0|0|4029.0|0|0.0|100
0|2021-12-15|184434.0|0|184434.0|0|4042.0|0|0.0|100
0|2021-12-16|185583.0|0|185583.0|0|4045.0|0|0.0|100
0|2021-12-17|186874.0|0|186874.0|0|4057.0|0|0.0|100
0|2021-12-18|186874.0|0|186874.0|0|4057.0|0|0.0|100
0|2021-12-19|186874.0|0|186874.0|0|4057.0|0|0.0|100
0|2021-12-20|189533.0|0|189533.0|0|4059.0|0|0.0|100
0|2021-12-21|190649.0|0|190649.0|0|4068.0|0|0.0|100
0|2021-12-22|192450.0|0|192450.0|0|4076.0|0|0.0|100
0|2021-12-23|194544.0|0|194544.0|0|4088.0|0|0.0|100
0|2021-12-24|196703.0|0|196703.0|0|4094.0|0|0.0|100
0|2021-12-25|196703.0|0|196703.0|0|4094.0|0|0.0|100
0|2021-12-26|196703.0|0|196703.0|0|4094.0|0|0.0|100
0|2021-12-27|199271.0|0|199271.0|0|4097.0|0|0.0|100
0|2021-12-28|201332.0|0|201332.0|0|4109.0|0|0.0|100
0|2021-12-29|204638.0|0|204638.0|0|4117.0|0|0.0|100
0|2021-12-30|208865.0|0|208865.0|0|4124.0|0|0.0|100
0|2021-12-31|213486.0|0|213486.0|0|4129.0|0|0.0|100
0|2022-01-01|213486.0|0|213486.0|0|4129.0|0|0.0|100
0|2022-01-02|213486.0|0|213486.0|0|4129.0|0|0.0|100
0|2022-01-03|219876.0|0|219876.0|0|4135.0|0|0.0|100
0|2022-01-04|223261.0|0|223261.0|0|4144.0|0|0.0|100
0|2022-01-05|229701.0|0|229701.0|0|4153.0|0|0.0|100
0|2022-01-06|235997.0|0|235997.0|0|4157.0|0|0.0|100
0|2022-01-07|241111.0|0|241111.0|0|4166.0|0|0.0|100
0|2022-01-08|241111.0|0|241111.0|0|4166.0|0|0.0|100
0|2022-01-09|241111.0|0|241111.0|0|4166.0|0|0.0|100
0|2022-01-10|254872.0|0|254872.0|0|4179.0|0|0.0|100
0|2022-01-11|258623.0|0|258623.0|0|4201.0|0|0.0|100
0|2022-01-12|263784.0|0|263784.0|0|4214.0|0|0.0|100
0|2022-01-13|263784.0|0|267670.0|0|4214.0|0|0.0|100
0|2022-01-14|270534.0|0|270534.0|0|4228.0|0|0.0|100
0|2022-01-15|270534.0|0|270534.0|0|4228.0|0|0.0|100
0|2022-01-16|270534.0|0|270534.0|0|4228.0|0|0.0|100
0|2022-01-17|270534.0|0|0.0|100|4228.0|0|0.0|100
