|dates|Champaign_Ohio_UnitedStates.JHU_ConfirmedCases.data|Champaign_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Champaign_Ohio_UnitedStates.NYT_ConfirmedCases.data|Champaign_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Champaign_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Champaign_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Champaign_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Champaign_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5044.0|0|5044.0|0|75.0|0|0.0|100
0|2021-10-18|5050.0|0|5050.0|0|75.0|0|0.0|100
0|2021-10-19|5063.0|0|5063.0|0|75.0|0|0.0|100
0|2021-10-20|5093.0|0|5093.0|0|76.0|0|0.0|100
0|2021-10-21|5103.0|0|5103.0|0|76.0|0|0.0|100
0|2021-10-22|5115.0|0|5115.0|0|77.0|0|0.0|100
0|2021-10-23|5131.0|0|5131.0|0|78.0|0|0.0|100
0|2021-10-24|5140.0|0|5140.0|0|78.0|0|0.0|100
0|2021-10-25|5142.0|0|5142.0|0|78.0|0|0.0|100
0|2021-10-26|5156.0|0|5156.0|0|78.0|0|0.0|100
0|2021-10-27|5183.0|0|5183.0|0|78.0|0|0.0|100
0|2021-10-28|5198.0|0|5198.0|0|78.0|0|0.0|100
0|2021-10-29|5214.0|0|5214.0|0|78.0|0|0.0|100
0|2021-10-30|5230.0|0|5230.0|0|78.0|0|0.0|100
0|2021-10-31|5236.0|0|5236.0|0|78.0|0|0.0|100
0|2021-11-01|5241.0|0|5241.0|0|78.0|0|0.0|100
0|2021-11-02|5259.0|0|5259.0|0|78.0|0|0.0|100
0|2021-11-03|5278.0|0|5278.0|0|78.0|0|0.0|100
0|2021-11-04|5302.0|0|5302.0|0|78.0|0|0.0|100
0|2021-11-05|5315.0|0|5315.0|0|78.0|0|0.0|100
0|2021-11-06|5320.0|0|5320.0|0|78.0|0|0.0|100
0|2021-11-07|5335.0|0|5335.0|0|78.0|0|0.0|100
0|2021-11-08|5343.0|0|5343.0|0|78.0|0|0.0|100
0|2021-11-09|5363.0|0|5363.0|0|80.0|0|0.0|100
0|2021-11-10|5363.0|0|5385.0|0|80.0|0|0.0|100
0|2021-11-11|5401.0|0|5401.0|0|80.0|0|0.0|100
