|dates|Mercer_Ohio_UnitedStates.JHU_ConfirmedCases.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Mercer_Ohio_UnitedStates.NYT_ConfirmedCases.data|Mercer_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Mercer_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-08|7825.0|0|7825.0|0|110.0|0|0.0|100
0|2022-01-09|7902.0|0|7902.0|0|110.0|0|0.0|100
0|2022-01-10|7960.0|0|7960.0|0|110.0|0|0.0|100
0|2022-01-11|7974.0|0|7974.0|0|112.0|0|0.0|100
0|2022-01-12|8020.0|0|8020.0|0|112.0|0|0.0|100
0|2022-01-13|8020.0|0|8062.0|0|112.0|0|0.0|100
0|2022-01-14|8302.0|0|8302.0|0|111.0|0|0.0|100
0|2022-01-15|8533.0|0|8533.0|0|111.0|0|0.0|100
0|2022-01-16|8603.0|0|8603.0|0|111.0|0|0.0|100
0|2022-01-17|8640.0|0|0.0|100|111.0|0|0.0|100
