|dates|Morton_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Morton_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Morton_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Morton_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Morton_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Morton_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Morton_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Morton_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|7132.0|0|7132.0|0|110.0|0|0.0|100
0|2021-10-18|7147.0|0|7147.0|0|110.0|0|0.0|100
0|2021-10-19|7175.0|0|7175.0|0|112.0|0|0.0|100
0|2021-10-20|7207.0|0|7207.0|0|112.0|0|0.0|100
0|2021-10-21|7249.0|0|7249.0|0|113.0|0|0.0|100
0|2021-10-22|7278.0|0|7278.0|0|114.0|0|0.0|100
0|2021-10-23|7288.0|0|7288.0|0|114.0|0|0.0|100
0|2021-10-24|7299.0|0|7299.0|0|114.0|0|0.0|100
0|2021-10-25|7317.0|0|7317.0|0|114.0|0|0.0|100
0|2021-10-26|7353.0|0|7353.0|0|115.0|0|0.0|100
0|2021-10-27|7391.0|0|7391.0|0|115.0|0|0.0|100
0|2021-10-28|7427.0|0|7427.0|0|115.0|0|0.0|100
0|2021-10-29|7452.0|0|7452.0|0|115.0|0|0.0|100
0|2021-10-30|7469.0|0|7469.0|0|115.0|0|0.0|100
0|2021-10-31|7488.0|0|7488.0|0|115.0|0|0.0|100
0|2021-11-01|7498.0|0|7498.0|0|115.0|0|0.0|100
0|2021-11-02|7523.0|0|7523.0|0|117.0|0|0.0|100
0|2021-11-03|7557.0|0|7557.0|0|118.0|0|0.0|100
0|2021-11-04|7580.0|0|7580.0|0|119.0|0|0.0|100
0|2021-11-05|7603.0|0|7603.0|0|119.0|0|0.0|100
0|2021-11-06|7640.0|0|7640.0|0|119.0|0|0.0|100
0|2021-11-07|7653.0|0|7653.0|0|119.0|0|0.0|100
0|2021-11-08|7664.0|0|7664.0|0|119.0|0|0.0|100
0|2021-11-09|7697.0|0|7697.0|0|120.0|0|0.0|100
0|2021-11-10|7728.0|0|7728.0|0|120.0|0|0.0|100
0|2021-11-11|7756.0|0|7756.0|0|120.0|0|0.0|100
0|2021-11-12|7772.0|0|7772.0|0|120.0|0|0.0|100
0|2021-11-13|7786.0|0|7786.0|0|122.0|0|0.0|100
0|2021-11-14|7795.0|0|7795.0|0|122.0|0|0.0|100
0|2021-11-15|7806.0|0|7806.0|0|122.0|0|0.0|100
0|2021-11-16|7830.0|0|7830.0|0|122.0|0|0.0|100
0|2021-11-17|7855.0|0|7855.0|0|123.0|0|0.0|100
0|2021-11-18|7881.0|0|7881.0|0|123.0|0|0.0|100
0|2021-11-19|7898.0|0|7898.0|0|124.0|0|0.0|100
0|2021-11-20|7910.0|0|7910.0|0|124.0|0|0.0|100
0|2021-11-21|7917.0|0|7917.0|0|124.0|0|0.0|100
0|2021-11-22|7931.0|0|7931.0|0|124.0|0|0.0|100
