|dates|Sharp_Arkansas_UnitedStates.JHU_ConfirmedCases.data|Sharp_Arkansas_UnitedStates.JHU_ConfirmedCases.missing|Sharp_Arkansas_UnitedStates.NYT_ConfirmedCases.data|Sharp_Arkansas_UnitedStates.NYT_ConfirmedCases.missing|Sharp_Arkansas_UnitedStates.JHU_ConfirmedDeaths.data|Sharp_Arkansas_UnitedStates.JHU_ConfirmedDeaths.missing|Sharp_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.data|Sharp_Arkansas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|2814.0|0|2814.0|0|66.0|0|0.0|100
0|2021-10-18|2815.0|0|2815.0|0|66.0|0|0.0|100
0|2021-10-19|2818.0|0|2818.0|0|66.0|0|0.0|100
0|2021-10-20|2828.0|0|2828.0|0|66.0|0|0.0|100
0|2021-10-21|2837.0|0|2837.0|0|66.0|0|0.0|100
0|2021-10-22|2848.0|0|2848.0|0|66.0|0|0.0|100
0|2021-10-23|2850.0|0|2850.0|0|66.0|0|0.0|100
0|2021-10-24|2850.0|0|2850.0|0|67.0|0|0.0|100
0|2021-10-25|2854.0|0|2854.0|0|67.0|0|0.0|100
0|2021-10-26|2864.0|0|2864.0|0|68.0|0|0.0|100
0|2021-10-27|2873.0|0|2873.0|0|67.0|0|0.0|100
0|2021-10-28|2884.0|0|2884.0|0|67.0|0|0.0|100
0|2021-10-29|2897.0|0|2897.0|0|67.0|0|0.0|100
0|2021-10-30|2911.0|0|2911.0|0|67.0|0|0.0|100
0|2021-10-31|2913.0|0|2913.0|0|67.0|0|0.0|100
0|2021-11-01|2915.0|0|2915.0|0|67.0|0|0.0|100
0|2021-11-02|2926.0|0|2926.0|0|67.0|0|0.0|100
0|2021-11-03|2933.0|0|2933.0|0|68.0|0|0.0|100
0|2021-11-04|2939.0|0|2939.0|0|68.0|0|0.0|100
0|2021-11-05|2946.0|0|2946.0|0|69.0|0|0.0|100
0|2021-11-06|2949.0|0|2949.0|0|69.0|0|0.0|100
0|2021-11-07|2951.0|0|2951.0|0|69.0|0|0.0|100
0|2021-11-08|2951.0|0|2953.0|0|69.0|0|0.0|100
0|2021-11-09|2958.0|0|2958.0|0|69.0|0|0.0|100
0|2021-11-10|2967.0|0|2967.0|0|69.0|0|0.0|100
0|2021-11-11|2967.0|0|2975.0|0|69.0|0|0.0|100
0|2021-11-12|2980.0|0|2980.0|0|71.0|0|0.0|100
0|2021-11-13|2986.0|0|2986.0|0|71.0|0|0.0|100
0|2021-11-14|2989.0|0|2989.0|0|71.0|0|0.0|100
0|2021-11-15|2993.0|0|2993.0|0|71.0|0|0.0|100
0|2021-11-16|3018.0|0|3018.0|0|71.0|0|0.0|100
0|2021-11-17|3029.0|0|3029.0|0|71.0|0|0.0|100
0|2021-11-18|3042.0|0|3042.0|0|70.0|0|0.0|100
0|2021-11-19|3048.0|0|3048.0|0|70.0|0|0.0|100
0|2021-11-20|3056.0|0|3056.0|0|70.0|0|0.0|100
0|2021-11-21|3061.0|0|3061.0|0|70.0|0|0.0|100
0|2021-11-22|3070.0|0|3070.0|0|70.0|0|0.0|100
0|2021-11-23|3088.0|0|3088.0|0|70.0|0|0.0|100
0|2021-11-24|3104.0|0|3104.0|0|70.0|0|0.0|100
0|2021-11-25|3111.0|0|3111.0|0|70.0|0|0.0|100
0|2021-11-26|3112.0|0|3112.0|0|70.0|0|0.0|100
0|2021-11-27|3116.0|0|3116.0|0|70.0|0|0.0|100
0|2021-11-28|3122.0|0|3122.0|0|70.0|0|0.0|100
0|2021-11-29|3124.0|0|3124.0|0|70.0|0|0.0|100
0|2021-11-30|3149.0|0|3149.0|0|70.0|0|0.0|100
0|2021-12-01|3159.0|0|3159.0|0|70.0|0|0.0|100
0|2021-12-02|3171.0|0|3171.0|0|70.0|0|0.0|100
0|2021-12-03|3175.0|0|3175.0|0|70.0|0|0.0|100
0|2021-12-04|3179.0|0|3179.0|0|70.0|0|0.0|100
0|2021-12-05|3179.0|0|3180.0|0|70.0|0|0.0|100
0|2021-12-06|3181.0|0|3181.0|0|70.0|0|0.0|100
0|2021-12-07|3194.0|0|3194.0|0|71.0|0|0.0|100
0|2021-12-08|3198.0|0|3198.0|0|72.0|0|0.0|100
0|2021-12-09|3205.0|0|3205.0|0|72.0|0|0.0|100
0|2021-12-10|3218.0|0|3218.0|0|72.0|0|0.0|100
0|2021-12-11|3221.0|0|3221.0|0|73.0|0|0.0|100
0|2021-12-12|3222.0|0|3222.0|0|74.0|0|0.0|100
0|2021-12-13|3220.0|0|3220.0|0|75.0|0|0.0|100
0|2021-12-14|3220.0|0|3223.0|0|75.0|0|0.0|100
0|2021-12-15|3236.0|0|3236.0|0|76.0|0|0.0|100
0|2021-12-16|3239.0|0|3239.0|0|76.0|0|0.0|100
0|2021-12-17|3244.0|0|3244.0|0|76.0|0|0.0|100
0|2021-12-18|3246.0|0|3246.0|0|76.0|0|0.0|100
0|2021-12-19|3245.0|0|3245.0|0|76.0|0|0.0|100
0|2021-12-20|3247.0|0|3247.0|0|76.0|0|0.0|100
0|2021-12-21|3259.0|0|3259.0|0|76.0|0|0.0|100
0|2021-12-22|3273.0|0|3273.0|0|76.0|0|0.0|100
0|2021-12-23|3286.0|0|3286.0|0|76.0|0|0.0|100
0|2021-12-24|3294.0|0|3294.0|0|77.0|0|0.0|100
