|dates|Boyd_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Boyd_Nebraska_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Boyd_Nebraska_UnitedStates.Male_Total_Population.data|Boyd_Nebraska_UnitedStates.Male_Total_Population.missing|Boyd_Nebraska_UnitedStates.Female_Total_Population.data|Boyd_Nebraska_UnitedStates.Female_Total_Population.missing|Boyd_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.data|Boyd_Nebraska_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-18|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-19|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-20|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-21|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-22|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-23|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-24|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-25|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-26|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-27|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-28|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-29|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-30|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-10-31|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-01|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-02|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-03|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-04|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-05|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-06|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-07|598.0|0|981.0|0|974.0|0|371.0|0
0|2021-11-08|598.0|0|981.0|0|974.0|0|371.0|0
