|dates|Burleigh_NorthDakota_UnitedStates.JHU_ConfirmedCases.data|Burleigh_NorthDakota_UnitedStates.JHU_ConfirmedCases.missing|Burleigh_NorthDakota_UnitedStates.NYT_ConfirmedCases.data|Burleigh_NorthDakota_UnitedStates.NYT_ConfirmedCases.missing|Burleigh_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Burleigh_NorthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Burleigh_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Burleigh_NorthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|21582.0|0|21582.0|0|226.0|0|0.0|100
0|2021-10-18|21618.0|0|21618.0|0|226.0|0|0.0|100
0|2021-10-19|21704.0|0|21704.0|0|227.0|0|0.0|100
0|2021-10-20|21745.0|0|21745.0|0|229.0|0|0.0|100
0|2021-10-21|21811.0|0|21811.0|0|230.0|0|0.0|100
0|2021-10-22|21865.0|0|21865.0|0|230.0|0|0.0|100
0|2021-10-23|21924.0|0|21924.0|0|231.0|0|0.0|100
0|2021-10-24|21957.0|0|21957.0|0|231.0|0|0.0|100
0|2021-10-25|22006.0|0|22006.0|0|231.0|0|0.0|100
0|2021-10-26|22060.0|0|22060.0|0|236.0|0|0.0|100
0|2021-10-27|22114.0|0|22114.0|0|239.0|0|0.0|100
0|2021-10-28|22216.0|0|22216.0|0|240.0|0|0.0|100
0|2021-10-29|22266.0|0|22266.0|0|240.0|0|0.0|100
0|2021-10-30|22327.0|0|22327.0|0|241.0|0|0.0|100
0|2021-10-31|22392.0|0|22392.0|0|241.0|0|0.0|100
0|2021-11-01|22430.0|0|22430.0|0|241.0|0|0.0|100
0|2021-11-02|22491.0|0|22491.0|0|243.0|0|0.0|100
0|2021-11-03|22579.0|0|22579.0|0|243.0|0|0.0|100
0|2021-11-04|22679.0|0|22679.0|0|243.0|0|0.0|100
0|2021-11-05|22746.0|0|22746.0|0|244.0|0|0.0|100
0|2021-11-06|22798.0|0|22798.0|0|244.0|0|0.0|100
0|2021-11-07|22840.0|0|22840.0|0|244.0|0|0.0|100
0|2021-11-08|22866.0|0|22866.0|0|244.0|0|0.0|100
0|2021-11-09|22947.0|0|22947.0|0|244.0|0|0.0|100
0|2021-11-10|23026.0|0|23026.0|0|245.0|0|0.0|100
0|2021-11-11|23097.0|0|23097.0|0|246.0|0|0.0|100
0|2021-11-12|23150.0|0|23150.0|0|246.0|0|0.0|100
0|2021-11-13|23202.0|0|23202.0|0|247.0|0|0.0|100
0|2021-11-14|23236.0|0|23236.0|0|247.0|0|0.0|100
0|2021-11-15|23277.0|0|23277.0|0|247.0|0|0.0|100
0|2021-11-16|23350.0|0|23350.0|0|248.0|0|0.0|100
0|2021-11-17|23409.0|0|23409.0|0|249.0|0|0.0|100
0|2021-11-18|23472.0|0|23472.0|0|250.0|0|0.0|100
0|2021-11-19|23519.0|0|23519.0|0|252.0|0|0.0|100
0|2021-11-20|23574.0|0|23574.0|0|252.0|0|0.0|100
0|2021-11-21|23595.0|0|23595.0|0|252.0|0|0.0|100
0|2021-11-22|23636.0|0|23636.0|0|252.0|0|0.0|100
0|2021-11-23|23710.0|0|23710.0|0|255.0|0|0.0|100
0|2021-11-24|23766.0|0|23766.0|0|257.0|0|0.0|100
0|2021-11-25|23826.0|0|23826.0|0|257.0|0|0.0|100
0|2021-11-26|23843.0|0|23843.0|0|257.0|0|0.0|100
0|2021-11-27|23891.0|0|23891.0|0|258.0|0|0.0|100
0|2021-11-28|23932.0|0|23932.0|0|258.0|0|0.0|100
0|2021-11-29|23968.0|0|23968.0|0|258.0|0|0.0|100
0|2021-11-30|24053.0|0|24053.0|0|261.0|0|0.0|100
0|2021-12-01|24111.0|0|24111.0|0|261.0|0|0.0|100
0|2021-12-02|24180.0|0|24180.0|0|262.0|0|0.0|100
0|2021-12-03|24238.0|0|24238.0|0|263.0|0|0.0|100
0|2021-12-04|24285.0|0|24285.0|0|265.0|0|0.0|100
0|2021-12-05|24312.0|0|24312.0|0|265.0|0|0.0|100
0|2021-12-06|24334.0|0|24334.0|0|265.0|0|0.0|100
0|2021-12-07|24399.0|0|24399.0|0|268.0|0|0.0|100
0|2021-12-08|24435.0|0|24435.0|0|270.0|0|0.0|100
0|2021-12-09|24479.0|0|24479.0|0|272.0|0|0.0|100
0|2021-12-10|24523.0|0|24523.0|0|272.0|0|0.0|100
0|2021-12-11|24556.0|0|24556.0|0|272.0|0|0.0|100
0|2021-12-12|24586.0|0|24586.0|0|272.0|0|0.0|100
0|2021-12-13|24612.0|0|24612.0|0|272.0|0|0.0|100
0|2021-12-14|24612.0|0|24664.0|0|272.0|0|0.0|100
0|2021-12-15|24720.0|0|24720.0|0|274.0|0|0.0|100
0|2021-12-16|24767.0|0|24767.0|0|275.0|0|0.0|100
0|2021-12-17|24802.0|0|24802.0|0|275.0|0|0.0|100
0|2021-12-18|24831.0|0|24831.0|0|275.0|0|0.0|100
0|2021-12-19|24863.0|0|24863.0|0|275.0|0|0.0|100
0|2021-12-20|24894.0|0|24894.0|0|275.0|0|0.0|100
0|2021-12-21|24959.0|0|24959.0|0|276.0|0|0.0|100
0|2021-12-22|24997.0|0|24997.0|0|278.0|0|0.0|100
0|2021-12-23|25054.0|0|25054.0|0|279.0|0|0.0|100
0|2021-12-24|25098.0|0|25098.0|0|279.0|0|0.0|100
0|2021-12-25|25131.0|0|25131.0|0|279.0|0|0.0|100
0|2021-12-26|25135.0|0|25135.0|0|279.0|0|0.0|100
0|2021-12-27|25168.0|0|25168.0|0|279.0|0|0.0|100
0|2021-12-28|25241.0|0|25241.0|0|281.0|0|0.0|100
0|2021-12-29|25339.0|0|25339.0|0|281.0|0|0.0|100
0|2021-12-30|25455.0|0|25455.0|0|281.0|0|0.0|100
0|2021-12-31|25555.0|0|25555.0|0|281.0|0|0.0|100
0|2022-01-01|25621.0|0|25621.0|0|281.0|0|0.0|100
0|2022-01-02|25645.0|0|25645.0|0|281.0|0|0.0|100
0|2022-01-03|25731.0|0|25731.0|0|281.0|0|0.0|100
0|2022-01-04|25902.0|0|25902.0|0|281.0|0|0.0|100
0|2022-01-05|26097.0|0|26097.0|0|281.0|0|0.0|100
0|2022-01-06|26296.0|0|26296.0|0|282.0|0|0.0|100
0|2022-01-07|26480.0|0|26480.0|0|283.0|0|0.0|100
0|2022-01-08|26582.0|0|26582.0|0|284.0|0|0.0|100
0|2022-01-09|26752.0|0|26752.0|0|284.0|0|0.0|100
0|2022-01-10|26869.0|0|26869.0|0|284.0|0|0.0|100
0|2022-01-11|27057.0|0|27057.0|0|284.0|0|0.0|100
0|2022-01-12|27435.0|0|27435.0|0|286.0|0|0.0|100
0|2022-01-13|27435.0|0|27804.0|0|286.0|0|0.0|100
0|2022-01-14|28133.0|0|28133.0|0|287.0|0|0.0|100
0|2022-01-15|28431.0|0|28431.0|0|287.0|0|0.0|100
0|2022-01-16|28615.0|0|28615.0|0|287.0|0|0.0|100
0|2022-01-17|28753.0|0|0.0|100|287.0|0|0.0|100
