|dates|Hemphill_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Hemphill_Texas_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Hemphill_Texas_UnitedStates.Male_Total_Population.data|Hemphill_Texas_UnitedStates.Male_Total_Population.missing|Hemphill_Texas_UnitedStates.Female_Total_Population.data|Hemphill_Texas_UnitedStates.Female_Total_Population.missing|Hemphill_Texas_UnitedStates.MaleAndFemale_Under18_Population.data|Hemphill_Texas_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-18|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-19|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-20|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-21|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-22|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-23|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-24|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-25|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-26|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-27|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-28|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-29|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-30|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-10-31|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-01|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-02|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-03|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-04|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-05|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-06|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-07|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-08|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-09|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-10|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-11|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-12|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-13|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-14|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-15|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-16|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-17|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-18|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-19|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-20|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-21|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-22|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-23|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-24|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-25|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-26|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-27|553.0|0|1920.0|0|1905.0|0|1176.0|0
0|2021-11-28|553.0|0|1920.0|0|1905.0|0|1176.0|0
