|dates|Cook_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Cook_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Cook_Minnesota_UnitedStates.NYT_ConfirmedCases.data|Cook_Minnesota_UnitedStates.NYT_ConfirmedCases.missing|Cook_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Cook_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Cook_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Cook_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|242.0|0|242.0|0|0.0|0|0.0|100
0|2021-10-18|243.0|0|243.0|0|0.0|0|0.0|100
0|2021-10-19|246.0|0|246.0|0|0.0|0|0.0|100
0|2021-10-20|246.0|0|246.0|0|0.0|0|0.0|100
0|2021-10-21|246.0|0|246.0|0|0.0|0|0.0|100
0|2021-10-22|246.0|0|246.0|0|0.0|0|0.0|100
0|2021-10-23|246.0|0|246.0|0|0.0|0|0.0|100
0|2021-10-24|246.0|0|246.0|0|0.0|0|0.0|100
0|2021-10-25|245.0|0|245.0|0|0.0|0|0.0|100
0|2021-10-26|246.0|0|246.0|0|0.0|0|0.0|100
0|2021-10-27|247.0|0|247.0|0|0.0|0|0.0|100
0|2021-10-28|247.0|0|247.0|0|0.0|0|0.0|100
0|2021-10-29|248.0|0|248.0|0|0.0|0|0.0|100
0|2021-10-30|248.0|0|248.0|0|0.0|0|0.0|100
0|2021-10-31|248.0|0|248.0|0|0.0|0|0.0|100
0|2021-11-01|252.0|0|252.0|0|0.0|0|0.0|100
0|2021-11-02|254.0|0|254.0|0|0.0|0|0.0|100
0|2021-11-03|254.0|0|254.0|0|0.0|0|0.0|100
0|2021-11-04|256.0|0|256.0|0|0.0|0|0.0|100
0|2021-11-05|261.0|0|261.0|0|0.0|0|0.0|100
0|2021-11-06|261.0|0|261.0|0|0.0|0|0.0|100
0|2021-11-07|261.0|0|261.0|0|0.0|0|0.0|100
0|2021-11-08|263.0|0|263.0|0|0.0|0|0.0|100
0|2021-11-09|267.0|0|267.0|0|0.0|0|0.0|100
0|2021-11-10|267.0|0|268.0|0|0.0|0|0.0|100
0|2021-11-11|270.0|0|270.0|0|0.0|0|0.0|100
0|2021-11-12|275.0|0|275.0|0|0.0|0|0.0|100
0|2021-11-13|275.0|0|275.0|0|0.0|0|0.0|100
0|2021-11-14|275.0|0|275.0|0|0.0|0|0.0|100
0|2021-11-15|280.0|0|280.0|0|0.0|0|0.0|100
0|2021-11-16|288.0|0|288.0|0|0.0|0|0.0|100
0|2021-11-17|289.0|0|289.0|0|0.0|0|0.0|100
0|2021-11-18|292.0|0|292.0|0|0.0|0|0.0|100
0|2021-11-19|292.0|0|292.0|0|0.0|0|0.0|100
0|2021-11-20|292.0|0|292.0|0|0.0|0|0.0|100
0|2021-11-21|292.0|0|292.0|0|0.0|0|0.0|100
0|2021-11-22|295.0|0|295.0|0|0.0|0|0.0|100
0|2021-11-23|299.0|0|299.0|0|0.0|0|0.0|100
0|2021-11-24|300.0|0|300.0|0|0.0|0|0.0|100
0|2021-11-25|300.0|0|300.0|0|0.0|0|0.0|100
0|2021-11-26|302.0|0|302.0|0|0.0|0|0.0|100
0|2021-11-27|302.0|0|302.0|0|0.0|0|0.0|100
0|2021-11-28|302.0|0|302.0|0|0.0|0|0.0|100
0|2021-11-29|301.0|0|301.0|0|0.0|0|0.0|100
0|2021-11-30|307.0|0|307.0|0|0.0|0|0.0|100
0|2021-12-01|307.0|0|307.0|0|1.0|0|0.0|100
0|2021-12-02|307.0|0|313.0|0|1.0|0|0.0|100
0|2021-12-03|314.0|0|314.0|0|1.0|0|0.0|100
0|2021-12-04|314.0|0|314.0|0|1.0|0|0.0|100
0|2021-12-05|314.0|0|314.0|0|1.0|0|0.0|100
0|2021-12-06|315.0|0|315.0|0|1.0|0|0.0|100
0|2021-12-07|319.0|0|319.0|0|1.0|0|0.0|100
0|2021-12-08|321.0|0|321.0|0|1.0|0|0.0|100
0|2021-12-09|322.0|0|322.0|0|1.0|0|0.0|100
0|2021-12-10|324.0|0|324.0|0|1.0|0|0.0|100
0|2021-12-11|324.0|0|324.0|0|1.0|0|0.0|100
0|2021-12-12|324.0|0|324.0|0|1.0|0|0.0|100
0|2021-12-13|325.0|0|325.0|0|1.0|0|0.0|100
0|2021-12-14|325.0|0|328.0|0|1.0|0|0.0|100
0|2021-12-15|329.0|0|329.0|0|1.0|0|0.0|100
0|2021-12-16|332.0|0|332.0|0|1.0|0|0.0|100
