|dates|Guadalupe_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Guadalupe_NewMexico_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Guadalupe_NewMexico_UnitedStates.Male_Total_Population.data|Guadalupe_NewMexico_UnitedStates.Male_Total_Population.missing|Guadalupe_NewMexico_UnitedStates.Female_Total_Population.data|Guadalupe_NewMexico_UnitedStates.Female_Total_Population.missing|Guadalupe_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.data|Guadalupe_NewMexico_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-18|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-19|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-20|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-21|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-22|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-23|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-24|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-25|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-26|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-27|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-28|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-29|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-30|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-10-31|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-01|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-02|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-03|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-04|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-05|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-06|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-07|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-08|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-09|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-10|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-11|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-12|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-13|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-14|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-15|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-16|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-17|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-18|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-19|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-20|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-21|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-22|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-23|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-24|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-25|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-26|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-27|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-28|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-29|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-11-30|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-01|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-02|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-03|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-04|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-05|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-06|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-07|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-08|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-09|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-10|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-11|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-12|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-13|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-14|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-15|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-16|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-17|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-18|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-19|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-20|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-21|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-22|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-23|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-24|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-25|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-26|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-27|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-28|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-29|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-30|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2021-12-31|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-01|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-02|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-03|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-04|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-05|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-06|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-07|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-08|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-09|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-10|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-11|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-12|850.0|0|2473.0|0|1868.0|0|905.0|0
0|2022-01-13|850.0|0|2473.0|0|1868.0|0|905.0|0
