|dates|Porter_Indiana_UnitedStates.JHU_ConfirmedCases.data|Porter_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Porter_Indiana_UnitedStates.NYT_ConfirmedCases.data|Porter_Indiana_UnitedStates.NYT_ConfirmedCases.missing|Porter_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Porter_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Porter_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Porter_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|22735.0|0|22759.0|0|362.0|0|0.0|100
0|2021-10-18|22802.0|0|22826.0|0|362.0|0|0.0|100
0|2021-10-19|22833.0|0|22857.0|0|364.0|0|0.0|100
0|2021-10-20|22856.0|0|22880.0|0|365.0|0|0.0|100
0|2021-10-21|22890.0|0|22914.0|0|365.0|0|0.0|100
0|2021-10-22|22929.0|0|22953.0|0|365.0|0|0.0|100
0|2021-10-23|22929.0|0|22953.0|0|365.0|0|0.0|100
0|2021-10-24|22929.0|0|22953.0|0|365.0|0|0.0|100
0|2021-10-25|22985.0|0|23009.0|0|367.0|0|0.0|100
0|2021-10-26|23018.0|0|23042.0|0|367.0|0|0.0|100
0|2021-10-27|23070.0|0|23094.0|0|369.0|0|0.0|100
0|2021-10-28|23103.0|0|23127.0|0|369.0|0|0.0|100
0|2021-10-29|23150.0|0|23174.0|0|369.0|0|0.0|100
0|2021-10-30|23150.0|0|23174.0|0|369.0|0|0.0|100
0|2021-10-31|23150.0|0|23174.0|0|369.0|0|0.0|100
0|2021-11-01|23234.0|0|23258.0|0|369.0|0|0.0|100
0|2021-11-02|23272.0|0|23296.0|0|369.0|0|0.0|100
0|2021-11-03|23306.0|0|23330.0|0|370.0|0|0.0|100
0|2021-11-04|23351.0|0|23375.0|0|369.0|0|0.0|100
0|2021-11-05|23399.0|0|23423.0|0|369.0|0|0.0|100
0|2021-11-06|23399.0|0|23423.0|0|369.0|0|0.0|100
0|2021-11-07|23399.0|0|23423.0|0|369.0|0|0.0|100
0|2021-11-08|23514.0|0|23538.0|0|369.0|0|0.0|100
0|2021-11-09|23553.0|0|23577.0|0|369.0|0|0.0|100
0|2021-11-10|23553.0|0|23659.0|0|369.0|0|0.0|100
0|2021-11-11|23745.0|0|23769.0|0|370.0|0|0.0|100
0|2021-11-12|23858.0|0|23882.0|0|373.0|0|0.0|100
0|2021-11-13|23858.0|0|23882.0|0|373.0|0|0.0|100
0|2021-11-14|23858.0|0|23882.0|0|373.0|0|0.0|100
0|2021-11-15|23970.0|0|23994.0|0|373.0|0|0.0|100
0|2021-11-16|24060.0|0|24084.0|0|374.0|0|0.0|100
0|2021-11-17|24139.0|0|24163.0|0|374.0|0|0.0|100
0|2021-11-18|24232.0|0|24256.0|0|374.0|0|0.0|100
0|2021-11-19|24317.0|0|24341.0|0|374.0|0|0.0|100
0|2021-11-20|24317.0|0|24341.0|0|374.0|0|0.0|100
0|2021-11-21|24317.0|0|24341.0|0|374.0|0|0.0|100
0|2021-11-22|24501.0|0|24525.0|0|378.0|0|0.0|100
0|2021-11-23|24561.0|0|24585.0|0|380.0|0|0.0|100
0|2021-11-24|24683.0|0|24707.0|0|380.0|0|0.0|100
0|2021-11-25|24683.0|0|24707.0|0|380.0|0|0.0|100
