|dates|Cheatham_Tennessee_UnitedStates.BLS_EmployedPopulation.data|Cheatham_Tennessee_UnitedStates.BLS_EmployedPopulation.missing|Cheatham_Tennessee_UnitedStates.BLS_UnemployedPopulation.data|Cheatham_Tennessee_UnitedStates.BLS_UnemployedPopulation.missing|Cheatham_Tennessee_UnitedStates.BLS_UnemploymentRate.data|Cheatham_Tennessee_UnitedStates.BLS_UnemploymentRate.missing|Cheatham_Tennessee_UnitedStates.BLS_LaborForcePopulation.data|Cheatham_Tennessee_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-18|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-19|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-20|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-21|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-22|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-23|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-24|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-25|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-26|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-27|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-28|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-29|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-30|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-10-31|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-01|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-02|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-03|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-04|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-05|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-06|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-07|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-08|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-09|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-10|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-11|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-12|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-13|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-14|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-15|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-16|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-17|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-18|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-19|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-20|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-21|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-22|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-23|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-24|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-25|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-26|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-27|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-28|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-29|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-11-30|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-01|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-02|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-03|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-04|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-05|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-06|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-07|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-08|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-09|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-10|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-11|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-12|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-13|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-14|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-15|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-16|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-17|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-18|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-19|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-20|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
0|2021-12-21|21281.0|0|740.0|0|3.3604286817129103|0|22021.0|0
