|dates|Bent_Colorado_UnitedStates.JHU_ConfirmedCases.data|Bent_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Bent_Colorado_UnitedStates.NYT_ConfirmedCases.data|Bent_Colorado_UnitedStates.NYT_ConfirmedCases.missing|Bent_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Bent_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Bent_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Bent_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1675.0|0|1675.0|0|23.0|0|0.0|100
0|2021-10-18|1681.0|0|1681.0|0|23.0|0|0.0|100
0|2021-10-19|1683.0|0|1683.0|0|24.0|0|0.0|100
0|2021-10-20|1689.0|0|1689.0|0|26.0|0|0.0|100
0|2021-10-21|1700.0|0|1700.0|0|26.0|0|0.0|100
0|2021-10-22|1704.0|0|1704.0|0|26.0|0|0.0|100
0|2021-10-23|1704.0|0|1704.0|0|26.0|0|0.0|100
0|2021-10-24|1704.0|0|1704.0|0|26.0|0|0.0|100
0|2021-10-25|1712.0|0|1712.0|0|27.0|0|0.0|100
0|2021-10-26|1725.0|0|1725.0|0|27.0|0|0.0|100
0|2021-10-27|1727.0|0|1727.0|0|27.0|0|0.0|100
0|2021-10-28|1731.0|0|1731.0|0|27.0|0|0.0|100
0|2021-10-29|1737.0|0|1737.0|0|27.0|0|0.0|100
0|2021-10-30|1737.0|0|1737.0|0|27.0|0|0.0|100
0|2021-10-31|1737.0|0|1737.0|0|27.0|0|0.0|100
0|2021-11-01|1742.0|0|1742.0|0|27.0|0|0.0|100
0|2021-11-02|1752.0|0|1752.0|0|27.0|0|0.0|100
0|2021-11-03|1760.0|0|1760.0|0|27.0|0|0.0|100
0|2021-11-04|1767.0|0|1767.0|0|27.0|0|0.0|100
0|2021-11-05|1771.0|0|1771.0|0|27.0|0|0.0|100
0|2021-11-06|1771.0|0|1771.0|0|27.0|0|0.0|100
0|2021-11-07|1771.0|0|1771.0|0|27.0|0|0.0|100
0|2021-11-08|1776.0|0|1776.0|0|28.0|0|0.0|100
0|2021-11-09|1780.0|0|1780.0|0|28.0|0|0.0|100
0|2021-11-10|1780.0|0|1788.0|0|28.0|0|0.0|100
0|2021-11-11|1794.0|0|1794.0|0|29.0|0|0.0|100
0|2021-11-12|1797.0|0|1797.0|0|29.0|0|0.0|100
0|2021-11-13|1797.0|0|1797.0|0|29.0|0|0.0|100
0|2021-11-14|1797.0|0|1797.0|0|29.0|0|0.0|100
0|2021-11-15|1806.0|0|1806.0|0|30.0|0|0.0|100
0|2021-11-16|1815.0|0|1815.0|0|31.0|0|0.0|100
0|2021-11-17|1823.0|0|1823.0|0|31.0|0|0.0|100
0|2021-11-18|1833.0|0|1833.0|0|31.0|0|0.0|100
0|2021-11-19|1843.0|0|1843.0|0|31.0|0|0.0|100
0|2021-11-20|1843.0|0|1843.0|0|31.0|0|0.0|100
0|2021-11-21|1843.0|0|1843.0|0|31.0|0|0.0|100
0|2021-11-22|1851.0|0|1851.0|0|31.0|0|0.0|100
0|2021-11-23|1867.0|0|1867.0|0|31.0|0|0.0|100
0|2021-11-24|1869.0|0|1869.0|0|31.0|0|0.0|100
0|2021-11-25|1876.0|0|1876.0|0|31.0|0|0.0|100
0|2021-11-26|1876.0|0|1876.0|0|31.0|0|0.0|100
0|2021-11-27|1876.0|0|1876.0|0|31.0|0|0.0|100
0|2021-11-28|1876.0|0|1876.0|0|31.0|0|0.0|100
0|2021-11-29|1877.0|0|1877.0|0|31.0|0|0.0|100
0|2021-11-30|1877.0|0|1887.0|0|31.0|0|0.0|100
