|dates|WhitePine_Nevada_UnitedStates.JHU_ConfirmedCases.data|WhitePine_Nevada_UnitedStates.JHU_ConfirmedCases.missing|WhitePine_Nevada_UnitedStates.NYT_ConfirmedCases.data|WhitePine_Nevada_UnitedStates.NYT_ConfirmedCases.missing|WhitePine_Nevada_UnitedStates.JHU_ConfirmedDeaths.data|WhitePine_Nevada_UnitedStates.JHU_ConfirmedDeaths.missing|WhitePine_Nevada_UnitedStates.JHU_ConfirmedRecoveries.data|WhitePine_Nevada_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|1150.0|0|1265.0|0|10.0|0|0.0|100
0|2021-10-18|1150.0|0|1265.0|0|10.0|0|0.0|100
0|2021-10-19|1150.0|0|1265.0|0|10.0|0|0.0|100
0|2021-10-20|1197.0|0|1313.0|0|10.0|0|0.0|100
0|2021-10-21|1197.0|0|1313.0|0|10.0|0|0.0|100
0|2021-10-22|1197.0|0|1313.0|0|11.0|0|0.0|100
0|2021-10-23|1197.0|0|1313.0|0|11.0|0|0.0|100
0|2021-10-24|1197.0|0|1313.0|0|11.0|0|0.0|100
0|2021-10-25|1197.0|0|1313.0|0|11.0|0|0.0|100
0|2021-10-26|1205.0|0|1321.0|0|11.0|0|0.0|100
0|2021-10-27|1212.0|0|1328.0|0|11.0|0|0.0|100
0|2021-10-28|1215.0|0|1331.0|0|11.0|0|0.0|100
0|2021-10-29|1215.0|0|1331.0|0|11.0|0|0.0|100
0|2021-10-30|1215.0|0|1331.0|0|11.0|0|0.0|100
0|2021-10-31|1215.0|0|1331.0|0|11.0|0|0.0|100
0|2021-11-01|1215.0|0|1331.0|0|11.0|0|0.0|100
0|2021-11-02|1221.0|0|1337.0|0|11.0|0|0.0|100
0|2021-11-03|1227.0|0|1343.0|0|11.0|0|0.0|100
0|2021-11-04|1227.0|0|1343.0|0|12.0|0|0.0|100
0|2021-11-05|1239.0|0|1355.0|0|12.0|0|0.0|100
0|2021-11-06|1239.0|0|1355.0|0|12.0|0|0.0|100
0|2021-11-07|1239.0|0|1355.0|0|12.0|0|0.0|100
0|2021-11-08|1243.0|0|1368.0|0|13.0|0|0.0|100
0|2021-11-09|1257.0|0|1384.0|0|13.0|0|0.0|100
0|2021-11-10|1258.0|0|1385.0|0|14.0|0|0.0|100
0|2021-11-11|1258.0|0|1385.0|0|14.0|0|0.0|100
0|2021-11-12|1258.0|0|1385.0|0|13.0|0|0.0|100
0|2021-11-13|1258.0|0|1385.0|0|13.0|0|0.0|100
0|2021-11-14|1258.0|0|1385.0|0|13.0|0|0.0|100
0|2021-11-15|1260.0|0|1389.0|0|13.0|0|0.0|100
0|2021-11-16|1272.0|0|1407.0|0|13.0|0|0.0|100
0|2021-11-17|1272.0|0|1408.0|0|13.0|0|0.0|100
0|2021-11-18|1276.0|0|1411.0|0|13.0|0|0.0|100
0|2021-11-19|1282.0|0|1417.0|0|13.0|0|0.0|100
0|2021-11-20|1282.0|0|1417.0|0|13.0|0|0.0|100
0|2021-11-21|1282.0|0|1417.0|0|13.0|0|0.0|100
