|dates|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Hamblen_Tennessee_UnitedStates.NYT_ConfirmedCases.data|Hamblen_Tennessee_UnitedStates.NYT_ConfirmedCases.missing|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Hamblen_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|12875.0|0|12875.0|0|193.0|0|0.0|100
0|2021-10-18|12906.0|0|12906.0|0|193.0|0|0.0|100
0|2021-10-19|12920.0|0|12920.0|0|194.0|0|0.0|100
0|2021-10-20|12936.0|0|12936.0|0|196.0|0|0.0|100
0|2021-10-21|12947.0|0|12947.0|0|197.0|0|0.0|100
0|2021-10-22|12961.0|0|12961.0|0|197.0|0|0.0|100
0|2021-10-23|12961.0|0|12961.0|0|197.0|0|0.0|100
0|2021-10-24|12961.0|0|12961.0|0|197.0|0|0.0|100
0|2021-10-25|12961.0|0|12961.0|0|197.0|0|0.0|100
0|2021-10-26|12988.0|0|12988.0|0|201.0|0|0.0|100
0|2021-10-27|12996.0|0|12996.0|0|201.0|0|0.0|100
0|2021-10-28|13014.0|0|13014.0|0|202.0|0|0.0|100
0|2021-10-29|13023.0|0|13023.0|0|202.0|0|0.0|100
0|2021-10-30|13023.0|0|13023.0|0|202.0|0|0.0|100
0|2021-10-31|13023.0|0|13023.0|0|202.0|0|0.0|100
0|2021-11-01|13023.0|0|13023.0|0|202.0|0|0.0|100
0|2021-11-02|13065.0|0|13065.0|0|202.0|0|0.0|100
0|2021-11-03|13076.0|0|13076.0|0|202.0|0|0.0|100
0|2021-11-04|13088.0|0|13088.0|0|202.0|0|0.0|100
0|2021-11-05|13094.0|0|13094.0|0|202.0|0|0.0|100
0|2021-11-06|13094.0|0|13094.0|0|202.0|0|0.0|100
0|2021-11-07|13094.0|0|13094.0|0|202.0|0|0.0|100
0|2021-11-08|13094.0|0|13094.0|0|202.0|0|0.0|100
0|2021-11-09|13113.0|0|13113.0|0|202.0|0|0.0|100
0|2021-11-10|13113.0|0|13125.0|0|202.0|0|0.0|100
0|2021-11-11|13125.0|0|13125.0|0|202.0|0|0.0|100
0|2021-11-12|13151.0|0|13151.0|0|202.0|0|0.0|100
0|2021-11-13|13151.0|0|13151.0|0|202.0|0|0.0|100
0|2021-11-14|13151.0|0|13151.0|0|202.0|0|0.0|100
0|2021-11-15|13165.0|0|13165.0|0|203.0|0|0.0|100
0|2021-11-16|13175.0|0|13175.0|0|204.0|0|0.0|100
0|2021-11-17|13183.0|0|13183.0|0|205.0|0|0.0|100
0|2021-11-18|13197.0|0|13197.0|0|205.0|0|0.0|100
0|2021-11-19|13211.0|0|13211.0|0|206.0|0|0.0|100
0|2021-11-20|13211.0|0|13211.0|0|206.0|0|0.0|100
0|2021-11-21|13211.0|0|13211.0|0|206.0|0|0.0|100
0|2021-11-22|13238.0|0|13238.0|0|206.0|0|0.0|100
0|2021-11-23|13257.0|0|13257.0|0|206.0|0|0.0|100
0|2021-11-24|13263.0|0|13263.0|0|207.0|0|0.0|100
0|2021-11-25|13263.0|0|13263.0|0|207.0|0|0.0|100
0|2021-11-26|13263.0|0|13263.0|0|207.0|0|0.0|100
0|2021-11-27|13263.0|0|13263.0|0|207.0|0|0.0|100
0|2021-11-28|13263.0|0|13263.0|0|207.0|0|0.0|100
0|2021-11-29|13319.0|0|13319.0|0|207.0|0|0.0|100
0|2021-11-30|13339.0|0|13339.0|0|208.0|0|0.0|100
0|2021-12-01|13357.0|0|13357.0|0|217.0|0|0.0|100
0|2021-12-02|13386.0|0|13386.0|0|218.0|0|0.0|100
0|2021-12-03|13401.0|0|13401.0|0|219.0|0|0.0|100
0|2021-12-04|13401.0|0|13401.0|0|219.0|0|0.0|100
0|2021-12-05|13401.0|0|13401.0|0|219.0|0|0.0|100
0|2021-12-06|13452.0|0|13452.0|0|221.0|0|0.0|100
0|2021-12-07|13473.0|0|13473.0|0|223.0|0|0.0|100
0|2021-12-08|13488.0|0|13488.0|0|223.0|0|0.0|100
0|2021-12-09|13488.0|0|13488.0|0|223.0|0|0.0|100
0|2021-12-10|13537.0|0|13537.0|0|223.0|0|0.0|100
0|2021-12-11|13537.0|0|13537.0|0|223.0|0|0.0|100
0|2021-12-12|13537.0|0|13537.0|0|223.0|0|0.0|100
0|2021-12-13|13574.0|0|13574.0|0|224.0|0|0.0|100
0|2021-12-14|13574.0|0|13598.0|0|224.0|0|0.0|100
0|2021-12-15|13612.0|0|13612.0|0|229.0|0|0.0|100
0|2021-12-16|13644.0|0|13644.0|0|230.0|0|0.0|100
0|2021-12-17|13660.0|0|13660.0|0|231.0|0|0.0|100
0|2021-12-18|13660.0|0|13660.0|0|231.0|0|0.0|100
0|2021-12-19|13660.0|0|13660.0|0|231.0|0|0.0|100
0|2021-12-20|13707.0|0|13707.0|0|232.0|0|0.0|100
0|2021-12-21|13736.0|0|13736.0|0|234.0|0|0.0|100
0|2021-12-22|13756.0|0|13756.0|0|234.0|0|0.0|100
0|2021-12-23|13789.0|0|13789.0|0|284.0|0|0.0|100
0|2021-12-24|13789.0|0|13789.0|0|284.0|0|0.0|100
0|2021-12-25|13789.0|0|13789.0|0|284.0|0|0.0|100
0|2021-12-26|13789.0|0|13789.0|0|284.0|0|0.0|100
0|2021-12-27|13867.0|0|13867.0|0|286.0|0|0.0|100
0|2021-12-28|13867.0|0|13910.0|0|288.0|0|0.0|100
0|2021-12-29|13963.0|0|13963.0|0|288.0|0|0.0|100
0|2021-12-30|14070.0|0|14070.0|0|288.0|0|0.0|100
0|2021-12-31|14070.0|0|14070.0|0|288.0|0|0.0|100
0|2022-01-01|14070.0|0|14070.0|0|288.0|0|0.0|100
0|2022-01-02|14070.0|0|14070.0|0|288.0|0|0.0|100
0|2022-01-03|14250.0|0|14250.0|0|288.0|0|0.0|100
0|2022-01-04|14315.0|0|14315.0|0|290.0|0|0.0|100
0|2022-01-05|14315.0|0|14315.0|0|290.0|0|0.0|100
0|2022-01-06|14315.0|0|14315.0|0|290.0|0|0.0|100
0|2022-01-07|14315.0|0|14315.0|0|290.0|0|0.0|100
0|2022-01-08|14315.0|0|14315.0|0|290.0|0|0.0|100
0|2022-01-09|14315.0|0|14315.0|0|290.0|0|0.0|100
0|2022-01-10|14315.0|0|14315.0|0|290.0|0|0.0|100
0|2022-01-11|14315.0|0|14315.0|0|290.0|0|0.0|100
0|2022-01-12|14888.0|0|14888.0|0|292.0|0|0.0|100
0|2022-01-13|14888.0|0|14888.0|0|292.0|0|0.0|100
0|2022-01-14|14888.0|0|14888.0|0|292.0|0|0.0|100
0|2022-01-15|14888.0|0|14888.0|0|292.0|0|0.0|100
0|2022-01-16|14888.0|0|14888.0|0|292.0|0|0.0|100
0|2022-01-17|14888.0|0|0.0|100|292.0|0|0.0|100
