|dates|Fulton_Ohio_UnitedStates.JHU_ConfirmedCases.data|Fulton_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Fulton_Ohio_UnitedStates.NYT_ConfirmedCases.data|Fulton_Ohio_UnitedStates.NYT_ConfirmedCases.missing|Fulton_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Fulton_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Fulton_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Fulton_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2021-10-17|5915.0|0|5915.0|0|101.0|0|0.0|100
0|2021-10-18|5929.0|0|5929.0|0|101.0|0|0.0|100
0|2021-10-19|5950.0|0|5950.0|0|103.0|0|0.0|100
0|2021-10-20|5977.0|0|5977.0|0|104.0|0|0.0|100
0|2021-10-21|5992.0|0|5992.0|0|104.0|0|0.0|100
0|2021-10-22|6012.0|0|6012.0|0|104.0|0|0.0|100
0|2021-10-23|6028.0|0|6028.0|0|105.0|0|0.0|100
0|2021-10-24|6037.0|0|6037.0|0|105.0|0|0.0|100
0|2021-10-25|6051.0|0|6051.0|0|105.0|0|0.0|100
0|2021-10-26|6065.0|0|6065.0|0|106.0|0|0.0|100
0|2021-10-27|6087.0|0|6087.0|0|106.0|0|0.0|100
0|2021-10-28|6106.0|0|6106.0|0|106.0|0|0.0|100
0|2021-10-29|6117.0|0|6117.0|0|106.0|0|0.0|100
0|2021-10-30|6145.0|0|6145.0|0|106.0|0|0.0|100
0|2021-10-31|6150.0|0|6150.0|0|106.0|0|0.0|100
0|2021-11-01|6165.0|0|6165.0|0|106.0|0|0.0|100
0|2021-11-02|6193.0|0|6193.0|0|106.0|0|0.0|100
0|2021-11-03|6226.0|0|6226.0|0|106.0|0|0.0|100
0|2021-11-04|6250.0|0|6250.0|0|106.0|0|0.0|100
0|2021-11-05|6281.0|0|6281.0|0|106.0|0|0.0|100
0|2021-11-06|6300.0|0|6300.0|0|106.0|0|0.0|100
0|2021-11-07|6322.0|0|6322.0|0|106.0|0|0.0|100
0|2021-11-08|6336.0|0|6336.0|0|106.0|0|0.0|100
0|2021-11-09|6396.0|0|6396.0|0|106.0|0|0.0|100
0|2021-11-10|6447.0|0|6447.0|0|106.0|0|0.0|100
0|2021-11-11|6488.0|0|6488.0|0|106.0|0|0.0|100
0|2021-11-12|6510.0|0|6510.0|0|107.0|0|0.0|100
0|2021-11-13|6565.0|0|6565.0|0|107.0|0|0.0|100
0|2021-11-14|6575.0|0|6575.0|0|107.0|0|0.0|100
0|2021-11-15|6587.0|0|6587.0|0|107.0|0|0.0|100
0|2021-11-16|6640.0|0|6640.0|0|107.0|0|0.0|100
0|2021-11-17|6677.0|0|6677.0|0|107.0|0|0.0|100
0|2021-11-18|6710.0|0|6710.0|0|107.0|0|0.0|100
0|2021-11-19|6755.0|0|6755.0|0|110.0|0|0.0|100
0|2021-11-20|6783.0|0|6783.0|0|110.0|0|0.0|100
0|2021-11-21|6802.0|0|6802.0|0|110.0|0|0.0|100
0|2021-11-22|6826.0|0|6826.0|0|110.0|0|0.0|100
0|2021-11-23|6870.0|0|6870.0|0|111.0|0|0.0|100
0|2021-11-24|6905.0|0|6905.0|0|111.0|0|0.0|100
0|2021-11-25|6905.0|0|6905.0|0|111.0|0|0.0|100
0|2021-11-26|6939.0|0|6939.0|0|111.0|0|0.0|100
0|2021-11-27|6953.0|0|6953.0|0|111.0|0|0.0|100
0|2021-11-28|6963.0|0|6963.0|0|111.0|0|0.0|100
0|2021-11-29|7016.0|0|7016.0|0|111.0|0|0.0|100
0|2021-11-30|7058.0|0|7058.0|0|112.0|0|0.0|100
0|2021-12-01|7118.0|0|7118.0|0|112.0|0|0.0|100
0|2021-12-02|7167.0|0|7167.0|0|112.0|0|0.0|100
0|2021-12-03|7215.0|0|7215.0|0|113.0|0|0.0|100
0|2021-12-04|7247.0|0|7247.0|0|113.0|0|0.0|100
0|2021-12-05|7262.0|0|7262.0|0|113.0|0|0.0|100
0|2021-12-06|7284.0|0|7284.0|0|113.0|0|0.0|100
0|2021-12-07|7342.0|0|7342.0|0|114.0|0|0.0|100
0|2021-12-08|7384.0|0|7384.0|0|114.0|0|0.0|100
0|2021-12-09|7413.0|0|7413.0|0|114.0|0|0.0|100
0|2021-12-10|7452.0|0|7452.0|0|122.0|0|0.0|100
0|2021-12-11|7472.0|0|7472.0|0|122.0|0|0.0|100
0|2021-12-12|7485.0|0|7485.0|0|122.0|0|0.0|100
0|2021-12-13|7509.0|0|7509.0|0|122.0|0|0.0|100
0|2021-12-14|7509.0|0|7554.0|0|122.0|0|0.0|100
0|2021-12-15|7589.0|0|7589.0|0|122.0|0|0.0|100
0|2021-12-16|7612.0|0|7612.0|0|122.0|0|0.0|100
0|2021-12-17|7628.0|0|7628.0|0|126.0|0|0.0|100
0|2021-12-18|7657.0|0|7657.0|0|126.0|0|0.0|100
0|2021-12-19|7665.0|0|7665.0|0|126.0|0|0.0|100
0|2021-12-20|7685.0|0|7685.0|0|126.0|0|0.0|100
0|2021-12-21|7732.0|0|7732.0|0|129.0|0|0.0|100
0|2021-12-22|7768.0|0|7768.0|0|129.0|0|0.0|100
0|2021-12-23|7798.0|0|7798.0|0|129.0|0|0.0|100
0|2021-12-24|7814.0|0|7814.0|0|134.0|0|0.0|100
0|2021-12-25|7814.0|0|7814.0|0|134.0|0|0.0|100
0|2021-12-26|7844.0|0|7844.0|0|134.0|0|0.0|100
0|2021-12-27|7862.0|0|7862.0|0|134.0|0|0.0|100
0|2021-12-28|7903.0|0|7903.0|0|134.0|0|0.0|100
0|2021-12-29|7946.0|0|7946.0|0|134.0|0|0.0|100
0|2021-12-30|7982.0|0|7982.0|0|134.0|0|0.0|100
0|2021-12-31|8032.0|0|8032.0|0|136.0|0|0.0|100
0|2022-01-01|8032.0|0|8032.0|0|136.0|0|0.0|100
0|2022-01-02|8098.0|0|8098.0|0|136.0|0|0.0|100
0|2022-01-03|8129.0|0|8129.0|0|136.0|0|0.0|100
0|2022-01-04|8190.0|0|8190.0|0|140.0|0|0.0|100
0|2022-01-05|8295.0|0|8295.0|0|140.0|0|0.0|100
0|2022-01-06|8362.0|0|8362.0|0|140.0|0|0.0|100
0|2022-01-07|8432.0|0|8432.0|0|142.0|0|0.0|100
0|2022-01-08|8482.0|0|8482.0|0|142.0|0|0.0|100
0|2022-01-09|8509.0|0|8509.0|0|142.0|0|0.0|100
0|2022-01-10|8558.0|0|8558.0|0|142.0|0|0.0|100
0|2022-01-11|8647.0|0|8647.0|0|144.0|0|0.0|100
0|2022-01-12|8741.0|0|8741.0|0|144.0|0|0.0|100
0|2022-01-13|8741.0|0|8837.0|0|144.0|0|0.0|100
0|2022-01-14|9014.0|0|9014.0|0|148.0|0|0.0|100
0|2022-01-15|9130.0|0|9130.0|0|148.0|0|0.0|100
0|2022-01-16|9178.0|0|9178.0|0|148.0|0|0.0|100
0|2022-01-17|9235.0|0|0.0|100|148.0|0|0.0|100
