|dates|Yuma_Arizona_UnitedStates.BLS_EmployedPopulation.data|Yuma_Arizona_UnitedStates.BLS_EmployedPopulation.missing|Yuma_Arizona_UnitedStates.BLS_UnemployedPopulation.data|Yuma_Arizona_UnitedStates.BLS_UnemployedPopulation.missing|Yuma_Arizona_UnitedStates.BLS_UnemploymentRate.data|Yuma_Arizona_UnitedStates.BLS_UnemploymentRate.missing|Yuma_Arizona_UnitedStates.BLS_LaborForcePopulation.data|Yuma_Arizona_UnitedStates.BLS_LaborForcePopulation.missing
0|2021-10-17|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-18|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-19|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-20|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-21|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-22|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-23|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-24|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-25|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-26|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-27|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-28|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-29|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-30|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-10-31|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-01|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-02|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-03|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-04|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-05|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-06|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-07|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-08|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-09|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-10|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-11|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-12|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-13|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-14|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-15|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-16|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-17|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-18|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-19|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-20|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
0|2021-11-21|78438.0|0|16093.0|0|17.024045022267828|0|94531.0|0
