|dates|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Johnston_NorthCarolina_UnitedStates.NYT_ConfirmedCases.data|Johnston_NorthCarolina_UnitedStates.NYT_ConfirmedCases.missing|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Johnston_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2022-01-07|39724.0|0|39724.0|0|347.0|0|0.0|100
0|2022-01-08|39724.0|0|39724.0|0|347.0|0|0.0|100
0|2022-01-09|39724.0|0|39724.0|0|347.0|0|0.0|100
0|2022-01-10|41263.0|0|41263.0|0|347.0|0|0.0|100
0|2022-01-11|41634.0|0|41634.0|0|347.0|0|0.0|100
0|2022-01-12|42152.0|0|42152.0|0|351.0|0|0.0|100
0|2022-01-13|42152.0|0|43367.0|0|351.0|0|0.0|100
0|2022-01-14|44106.0|0|44106.0|0|363.0|0|0.0|100
0|2022-01-15|44106.0|0|44106.0|0|363.0|0|0.0|100
0|2022-01-16|44106.0|0|44106.0|0|363.0|0|0.0|100
0|2022-01-17|44106.0|0|0.0|100|363.0|0|0.0|100
