|dates|Marion_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.data|Marion_Indiana_UnitedStates.MaleAndFemale_AtLeast65_Population.missing|Marion_Indiana_UnitedStates.Male_Total_Population.data|Marion_Indiana_UnitedStates.Male_Total_Population.missing|Marion_Indiana_UnitedStates.Female_Total_Population.data|Marion_Indiana_UnitedStates.Female_Total_Population.missing|Marion_Indiana_UnitedStates.MaleAndFemale_Under18_Population.data|Marion_Indiana_UnitedStates.MaleAndFemale_Under18_Population.missing
0|2021-10-17|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-18|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-19|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-20|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-21|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-22|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-23|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-24|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-25|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-26|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-27|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-28|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-29|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-30|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-10-31|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-01|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-02|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-03|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-04|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-05|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-06|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-07|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-08|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-09|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-10|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-11|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-12|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-13|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-14|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-15|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-16|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-17|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-18|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-19|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-20|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-21|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-22|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-23|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-24|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-25|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-26|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-27|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-28|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-29|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-11-30|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-01|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-02|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-03|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-04|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-05|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-06|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-07|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-08|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-09|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-10|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-11|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-12|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-13|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-14|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-15|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-16|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-17|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-18|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-19|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-20|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-21|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-22|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-23|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-24|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-25|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-26|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-27|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-28|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-29|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-30|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2021-12-31|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-01|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-02|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-03|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-04|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-05|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-06|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-07|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-08|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-09|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-10|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-11|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-12|120358.0|0|460093.0|0|494577.0|0|235211.0|0
0|2022-01-13|120358.0|0|460093.0|0|494577.0|0|235211.0|0
